肘臂	zhoubi,zb
肘膊	zhoubo,zb
肘掣	zhouche,zc
肘拐	zhouguai,zg
肘关节	zhouguanjie,zgj
肘后	zhouhou,zh
肘后方	zhouhoufang,zhf
肘见	zhouxian,zx
肘生柳	zhoushengliu,zsl
肘手炼足	zhoushoulianzu,zslz
肘弯	zhouwan,zw
肘腕	zhouwan,zw
肘窝	zhouwo,zw
肘膝	zhouxi,zx
肘胁之患	zhouxiezhihuan,zxzh
肘行	zhouxing,zx
肘行膝步	zhouxingxibu,zxxb
肘押	zhouya,zy
肘腋	zhouye,zy
肘腋之患	zhouyezhihuan,zyzh
肘翼	zhouyi,zy
肘子	zhouzi,zz
肘足	zhouzu,zz
