邹辩	zoubian,zb
邹查	zouzha,zz
邹城	zoucheng,zc
邹城市	zouchengshi,zcs
邹夹	zoujia,zj
邹家	zoujia,zj
邹鲁	zoulu,zl
邹律	zoulu,zl
邹马	zouma,zm
邹枚	zoumei,zm
邹孟	zoumeng,zm
邹平	zouping,zp
邹平县	zoupingxian,zpx
邹容	zourong,zr
邹生	zousheng,zs
邹氏律	zoushilu,zsl
邹书	zoushu,zs
邹搜	zousou,zs
邹谈	zoutan,zt
邹谭	zoutan,zt
邹韬奋	zoutaofen,ztf
邹屠	zoutu,zt
邹县	zouxian,zx
邹衍	zouyan,zy
邹衍谈天	zouyantantian,zytt
邹缨齐紫	zouyingqizi,zyqz
邹虞	zouyu,zy
邹子	zouzi,zz
邹子律	zouzilu,zzl
邹族	zouzu,zz
