门庭如市	mentingrushi,mtrs
门庭若市	mentingruoshi,mtrs
门童	mentong,mt
门头	mentou,mt
门头沟	mentougou,mtg
门头沟区	mentougouqu,mtgq
门徒	mentu,mt
门外	menwai,mw
门外汉	menwaihan,mwh
门外楼头	menwailoutou,mwlt
门外人	menwairen,mwr
门望	menwang,mw
门帏	menwei,mw
门闱	menwei,mw
门帷	menwei,mw
门卫	menwei,mw
门尉	menwei,mw
门屋	menwu,mw
门无杂宾	menwuzabin,mwzb
门无杂客	menwuzake,mwzk
门庑	menwu,mw
门吸	menxi,mx
门隙	menxi,mx
门隟	menxi,mx
门下	menxia,mx
门下督	menxiadu,mxd
门下坊	menxiafang,mxf
门下客	menxiake,mxk
门下人	menxiaren,mxr
门下生	menxiasheng,mxs
门下省	menxiasheng,mxs
门下史	menxiashi,mxs
门下士	menxiashi,mxs
门下侍郎	menxiashilang,mxsl
门下侍郞	menxiashilang,mxsl
门下晚生	menxiawansheng,mxws
门下晩生	menxiawansheng,mxws
门下掾	menxiayuan,mxy
门罅	menxia,mx
门限	menxian,mx
门向	menxiang,mx
门巷	menxiang,mx
门楔	menxie,mx
门谢	menxie,mx
门行	menxing,mx
门兴格拉德巴赫	menxinggeladebahe,mxgldbh
门绪	menxu,mx
门壻	menxu,mx
门婿	menxu,mx
门选	menxuan,mx
门牙	menya,my
门檐	menyan,my
门唁	menyan,my
门钥	menyue,my
门业	menye,my
门义	menyi,my
门役	menyi,my
门荫	menyin,my
门尹	menyin,my
门印	menyin,my
门楹	menying,my
门墉	menyong,my
门勇	menyong,my
门宇	menyu,my
门阈	menyu,my
门垣	menyuan,my
门源	menyuan,my
门源回族自治县	menyuanhuizuzizhixian,myhzzzx
门源县	menyuanxian,myx
门阅	menyue,my
门皁	menzao,mz
门皂	menzao,mz
门长	menchang,mc
门仗	menzhang,mz
门杖	menzhang,mz
门者	menzhe,mz
门着	menzhe,mz
门诊	menzhen,mz
门诊部	menzhenbu,mzb
门诊室	menzhenshi,mzs
门征	menzheng,mz
门正	menzheng,mz
门政	menzheng,mz
门侄	menzhi,mz
门中	menzhong,mz
门中人	menzhongren,mzr
门轴	menzhou,mz
门胄	menzhou,mz
门诛	menzhu,mz
门主	menzhu,mz
门柱	menzhu,mz
门状	menzhuang,mz
门资	menzi,mz
门子	menzi,mz
门子钱	menziqian,mzq
门宗	menzong,mz
门卒	menzu,mz
门族	menzu,mz
门祚	menzuo,mz
