土盎	tuang,ta
土澳	tuao,ta
土巴	tuba,tb
土巴庚	tubageng,tbg
土巴佬	tubalao,tbl
土芭佬	tubalao,tbl
土坝	tuba,tb
土霸王	tubawang,tbw
土白	tubai,tb
土邦	tubang,tb
土帮	tubang,tb
土帮土成墙	tubangchengqiang,tbcq
土包	tubao,tb
土包子	tubaozi,tbz
土堡	tupu,tp
土豹	tubao,tb
土崩	tubeng,tb
土崩瓦解	tubengwajie,tbwj
土崩鱼烂	tubengyulan,tbyl
土笔	tubi,tb
土鳖	tubie,tb
土鼈	tubie,tb
土兵	tubing,tb
土拨鼠	tuboshu,tbs
土蕃	tufan,tf
土伯	tubo,tb
土伯特	tubote,tbt
土布	tubu,tb
土步	tubu,tb
土财主	tucaizhu,tcz
土蚕	tucan,tc
土藏	tucang,tc
土层	tuceng,tc
土茶	tucha,tc
土产	tuchan,tc
土娼	tuchang,tc
土场	tuchang,tc
土车	tuche,tc
土城	tucheng,tc
土城市	tuchengshi,tcs
土塍	tucheng,tc
土虫	tuchong,tc
土铳	tuchong,tc
土处	tuchu,tc
土畜	tuchu,tc
土瓷	tuci,tc
土锉	tucuo,tc
土铛	tucheng,tc
土到不行	tudaobuxing,tdbx
土得掉渣	tudediaozha,tddz
土德	tude,td
土地	tudi,td
土地祠	tudici,tdc
土地改革	tudigaige,tdgg
土地革命	tudigeming,tdgm
土地革命战争	tudigemingzhanzheng,tdgmzz
土地公	tudigong,tdg
土地公公	tudigong,tdg
土地规划	tudiguihua,tdgh
土地利用规划	tudiliyongguihua,tdlygh
土地庙	tudimiao,tdm
土地菩萨	tudipusa,tdps
土地入股	tudirugu,tdrg
土地神	tudishen,tds
土地税	tudishui,tds
土地堂	tuditang,tdt
土地爷	tudiye,tdy
土地证	tudizheng,tdz
土地资源	tudiziyuan,tdzy
土帝	tudi,td
土电影	tudianying,tdy
土调	tudiao,td
土定瓶	tudingping,tdp
土豆	tudou,td
土豆泥	tudouni,tdn
土豆丝	tudousi,tds
土豆网	tudouwang,tdw
土断	tuduan,td
土堆	tudui,td
土墩	tudun,td
土遁	tudun,td
土尔扈特	tuerhute,teht
土尔其斯坦	tuerqisitan,teqst
土耳其	tuerqi,teq
土耳其鸡	tuerqiji,teqj
土耳其人	tuerqiren,teqr
土耳其软糖	tuerqiruantang,teqrt
土耳其石	tuerqishi,teqs
土耳其旋转烤肉	tuerqixuanzhuankaorou,teqxzkr
土耳其语	tuerqiyu,teqy
土耳其玉	tuerqiyu,teqy
土法	tufa,tf
土番	tufan,tf
土矾	tufan,tf
土范	tufan,tf
土贩	tufan,tf
土方	tufang,tf
土方工程	tufanggongcheng,tfgc
土方子	tufangzi,tfz
土房	tufang,tf
土肥	tufei,tf
土匪	tufei,tf
土羵	tufen,tf
土粉子	tufenzi,tfz
土粪	tufen,tf
土风	tufeng,tf
土封	tufeng,tf
土蜂	tufeng,tf
土蠭	tufeng,tf
土缶	tufou,tf
土扶成墙	tufuchengqiang,tfcq
土茯苓	tufuling,tfl
土桴	tufu,tf
土符	tufu,tf
土釜	tufu,tf
土父	tufu,tf
土妇	tufu,tf
土附鱼	tufuyu,tfy
土阜	tufu,tf
土改	tugai,tg
土冈	tugang,tg
土岗	tugang,tg
土膏	tugao,tg
土疙瘩	tugeda,tgd
土歌	tuge,tg
土埂	tugeng,tg
土梗	tugeng,tg
土工	tugong,tg
土公	tugong,tg
土功	tugong,tg
土共	tugong,tg
土贡	tugong,tg
土狗	tugou,tg
土狗子	tugouzi,tgz
土古	tugu,tg
土谷	tugu,tg
土谷祠	tuguci,tgc
土骨	tugu,tg
土骨堆	tugudui,tgd
土骨蛇	tugushe,tgs
土鼓	tugu,tg
土皷	tugu,tg
土瓜	tugua,tg
土怪	tuguai,tg
土官	tuguan,tg
土圭	tugui,tg
土簋	tugui,tg
土桧	tugui,tg
土棍	tugun,tg
土国	tuguo,tg
土豪	tuhao,th
土豪劣绅	tuhaolieshen,thls
土衡	tuheng,th
土候	tuhou,th
土堠	tuhou,th
土户	tuhu,th
土花	tuhua,th
土化	tuhua,th
土话	tuhua,th
土圜	tuhuan,th
土皇帝	tuhuangdi,thd
土皇上	tuhuangshang,ths
土黄	tuhuang,th
土蝗	tuhuang,th
土灰	tuhui,th
土茴香	tuhuixiang,thx
土虺	tuhui,th
土虺蛇	tuhuishe,ths
土会	tuhui,th
土混混	tuhun,th
土货	tuhuo,th
土鸡	tuji,tj
土鸡瓦狗	tujiwagou,tjwg
土鸡瓦犬	tujiwaquan,tjwq
土基	tuji,tj
土墼	tuji,tj
土籍	tuji,tj
土妓	tuji,tj
土家语	tujiayu,tjy
土家族	tujiazu,tjz
土建	tujian,tj
土浆	tujiang,tj
土壃	tujiang,tj
土疆	tujiang,tj
土脚蛇	tujiaoshe,tjs
土窖	tujiao,tj
土阶	tujie,tj
土阶茅茨	tujiemaoci,tjmc
土阶茅屋	tujiemaowu,tjmw
土芥	tujie,tj
土禁	tujin,tj
土精	tujing,tj
土浄	tujing,tj
土境	tujing,tj
土酒	tujiu,tj
土居	tuju,tj
土苴	tuju,tj
土军	tujun,tj
土均	tujun,tj
土坎	tukan,tk
土坎儿	tukaner,tke
土匟	tukang,tk
土炕	tukang,tk
土坷垃	tukela,tkl
土坑	tukeng,tk
土空	tukong,tk
土口	tukou,tk
土寇	tukou,tk
土窟春	tukuchun,tkc
土库	tuku,tk
土库曼	tukuman,tkm
土库曼人	tukumanren,tkmr
土库曼斯坦	tukumansitan,tkmst
土库镇	tukuzhen,tkz
土块	tukuai,tk
土筐	tukuang,tk
土拉八几	tulabaji,tlbj
土拉弗氏菌	tulafushijun,tlfsj
土狼	tulang,tl
土阆	tulang,tl
土牢	tulao,tl
土老财	tulaocai,tlc
土老儿	tulaoer,tle
土老肥	tulaofei,tlf
土老帽	tulaomao,tlm
土老帽儿	tulaomaoer,tlme
土礼	tuli,tl
土里土气	tuliqi,tlq
土力	tuli,tl
土力工程	tuligongcheng,tlgc
土利	tuli,tl
土沥青	tuliqing,tlq
土栗	tuli,tl
土练	tulian,tl
土劣	tulie,tl
土鲮鱼	tulingyu,tly
土溜	tuliu,tl
土流子	tuliuzi,tlz
土塯	tuliu,tl
土龙	tulong,tl
土龙刍狗	tulongchugou,tlcg
土龙沐猴	tulongmuhou,tlmh
土笼	tulong,tl
土楼	tulou,tl
土蝼	tulou,tl
土路	tulu,tl
土圞儿	tuluaner,tle
土卵	tuluan,tl
土伦	tulun,tl
土码子	tumazi,tmz
土埋半截	tumaibanjie,tmbj
土脉	tumai,tm
土蛮	tuman,tm
土馒头	tumantou,tmt
土满	tuman,tm
土毛	tumao,tm
土茅	tumao,tm
土霉素	tumeisu,tms
土门	tumen,tm
土民	tumin,tm
土名	tuming,tm
土模	tumo,tm
土默特右旗	tumoteyouqi,tmtyq
土默特左旗	tumotezuoqi,tmtzq
