诰毖	gaobi,gb
诰策	gaoce,gc
诰勅	gaochi,gc
诰勑	gaolai,gl
诰敕	gaochi,gc
诰敕房	gaochifang,gcf
诰词	gaoci,gc
诰辞	gaoci,gc
诰封	gaofeng,gf
诰封夫人	gaofengfuren,gffr
诰告	gao,g
诰籍	gaoji,gj
诰教	gaojiao,gj
诰戒	gaojie,gj
诰诫	gaojie,gj
诰令	gaoling,gl
诰箓	gaolu,gl
诰命	gaoming,gm
诰命夫人	gaomingfuren,gmfr
诰命人	gaomingren,gmr
诰券	gaoquan,gq
诰誓	gaoshi,gs
诰授	gaoshou,gs
诰书	gaoshu,gs
诰语	gaoyu,gy
诰谕	gaoyu,gy
诰赠	gaozeng,gz
诰札出身	gaozhachushen,gzcs
诰章	gaozhang,gz
诰轴	gaozhou,gz
