驮背	tuobei,tb
驮畜	tuochu,tc
驮担	duodan,dd
驮道	tuodao,td
驮垛	duo,d
驮负	tuofu,tf
驮户	tuohu,th
驮家	tuojia,tj
驮价	tuojia,tj
驮架	tuojia,tj
驮脚	tuojiao,tj
驮轿	tuojiao,tj
驮筐	tuokuang,tk
驮梁	tuoliang,tl
驮铃	tuoling,tl
驮篓	tuolou,tl
驮骡	tuoluo,tl
驮马	tuoma,tm
驮鸟	tuoniao,tn
驮骑	tuoqi,tq
驮毧	tuorong,tr
驮兽	tuoshou,ts
驮水棍	tuoshuigun,tsg
驮送	tuosong,ts
驮驮	tuo,t
驮运	tuoyun,ty
驮运路	tuoyunlu,tyl
驮载	tuozai,tz
驮重	tuozhong,tz
驮装	duozhuang,dz
驮子	duozi,dz
