腿绷	tuibeng,tb
腿絣	tuibing,tb
腿带	tuidai,td
腿裆	tuidang,td
腿肚子	tuiduzi,tdz
腿杆	tuigan,tg
腿股	tuigu,tg
腿号	tuihao,th
腿号箍	tuihaogu,thg
腿后腱	tuihoujian,thj
腿花	tuihua,th
腿脚	tuijiao,tj
腿胯	tuikua,tk
腿了	tuile,tl
腿码	tuima,tm
腿勤	tuiqin,tq
腿曲裢子	tuiqulianzi,tqlz
腿事	tuishi,ts
腿套	tuitao,tt
腿脡	tuiting,tt
腿洼子	tuiwazi,twz
腿弯	tuiwan,tw
腿湾	tuiwan,tw
腿玩年	tuiwannian,twn
腿腕	tuiwan,tw
腿腕子	tuiwanzi,twz
腿子	tuizi,tz
