铲车	chanche,cc
铲除	chanchu,cc
铲刀	chandao,cd
铲地	chandi,cd
铲地皮	chandipi,cdp
铲革	change,cg
铲迹	chanji,cj
铲迹销声	chanjixiaosheng,cjxs
铲铗	chanjia,cj
铲马	chanma,cm
铲灭	chanmie,cm
铲平	chanping,cp
铲球	chanqiu,cq
铲屎官	chanshiguan,csg
铲刷	chanshua,cs
铲蹚	chantang,ct
铲剃	chanti,ct
铲薙	chanti,ct
铲头	chantou,ct
铲土机	chantuji,ctj
铲斜	chanxie,cx
铲削	chanxue,cx
铲雪车	chanxueche,cxc
铲刈	chanyi,cy
铲运车	chanyunche,cyc
铲运机	chanyunji,cyj
铲咋	chanza,cz
铲子	chanzi,cz
