羊白	yangbai,yb
羊碑	yangbei,yb
羊鼻公	yangbigong,ybg
羊卜	yangbu,yb
羊肠	yangchang,yc
羊肠阪	yangchangban,ycb
羊肠坂	yangchangban,ycb
羊肠九曲	yangchangjiuqu,ycjq
羊肠鸟道	yangchangniaodao,ycnd
羊肠线	yangchangxian,ycx
羊肠小道	yangchangxiaodao,ycxd
羊肠小径	yangchangxiaojing,ycxj
羊车	yangche,yc
羊城	yangcheng,yc
羊齿	yangchi,yc
羊触藩篱	yangchufanli,ycfl
羊灯	yangdeng,yd
羊癫风	yangdianfeng,ydf
羊癫疯	yangdianfeng,ydf
羊杜	yangdu,yd
羊肚	yangdu,yd
羊肚手巾	yangdushoujin,ydsj
羊肚子毛巾	yangduzimaojin,ydzmj
羊肚子手巾	yangduzishoujin,ydzsj
羊负来	yangfulai,yfl
羊傅	yangfu,yf
羊羔	yanggao,yg
羊羔儿利	yanggaoerli,ygel
羊羔利	yanggaoli,ygl
羊羔美酒	yanggaomeijiu,ygmj
羊羔息	yanggaoxi,ygx
羊羹	yanggeng,yg
羊工	yanggong,yg
羊公碑	yanggongbei,ygb
羊公鹤	yanggonghe,ygh
羊沟	yanggou,yg
羊拐	yangguai,yg
羊怪	yangguai,yg
羊倌	yangguan,yg
羊毫	yanghao,yh
羊很狼贪	yanghenlangtan,yhlt
羊狠狼贪	yanghenlangtan,yhlt
羊祸	yanghuo,yh
羊旤	yanghuo,yh
羊胛熟	yangjiashu,yjs
羊角	yangjiao,yj
羊角包	yangjiaobao,yjb
羊角村	yangjiaocun,yjc
羊角灯	yangjiaodeng,yjd
羊角豆	yangjiaodou,yjd
羊角风	yangjiaofeng,yjf
羊角疯	yangjiaofeng,yjf
羊角面包	yangjiaomianbao,yjmb
羊角芹	yangjiaoqin,yjq
羊酒	yangjiu,yj
羊栏	yanglan,yl
羊酪	yanglao,yl
羊坽	yangling,yl
羊羚	yangling,yl
羊陆	yanglu,yl
羊落虎口	yangluohukou,ylhk
羊马城	yangmacheng,ymc
羊马墙	yangmaqiang,ymq
羊马垣	yangmayuan,ymy
羊毛	yangmao,ym
羊毛出在羊身上	yangmaochuzaishenshang,ymczss
羊毛疔	yangmaoding,ymd
羊毛帽	yangmao,ym
羊毛衫	yangmaoshan,yms
羊毛毯	yangmaotan,ymt
羊毛袜	yangmaowa,ymw
羊毛线	yangmaoxian,ymx
羊毛衣	yangmaoyi,ymy
羊毛脂	yangmaozhi,ymz
羊膜	yangmo,ym
羊膜穿刺术	yangmochuancishu,ymccs
羊奶	yangnai,yn
羊男	yangnan,yn
羊年	yangnian,yn
羊排	yangpai,yp
羊皮	yangpi,yp
羊皮筏	yangpifa,ypf
羊皮纸	yangpizhi,ypz
羊栖	yangqi,yq
羊歧	yangqi,yq
羊黔	yangqian,yq
羊腔	yangqiang,yq
羊求	yangqiu,yq
羊裘	yangqiu,yq
羊圈	yangjuan,yj
羊裙	yangqun,yq
羊群	yangqun,yq
羊绒衫	yangrongshan,yrs
羊肉	yangrou,yr
羊肉串	yangrouchuan,yrc
羊肉馅	yangrouxian,yrx
羊入虎口	yangruhukou,yrhk
羊入虎群	yangruhuqun,yrhq
羊瘙痒病	yangsaobing,ysb
羊瘙痒症	yangsaozheng,ysz
羊舌	yangshe,ys
羊矢	yangshi,ys
羊矢枣	yangshizao,ysz
羊水	yangshui,ys
羊水穿刺	yangshuichuanci,yscc
羊说	yangshuo,ys
羊肆	yangsi,ys
羊孙	yangsun,ys
羊羧	yangsuo,ys
羊踏菜园	yangtacaiyuan,ytcy
羊昙	yangtan,yt
羊桃	yangtao,yt
羊体嵇心	yangtijixin,ytjx
羊田	yangtian,yt
羊头	yangtou,yt
羊头车	yangtouche,ytc
羊头狗肉	yangtougourou,ytgr
羊驼	yangtuo,yt
羊胃	yangwei,yw
羊胃羊头	yangweitou,ywt
羊痫风	yangxianfeng,yxf
羊癎风	yangxianfeng,yxf
羊岘	yangxian,yx
羊欣白练裙	yangxinbailianqun,yxblq
羊性	yangxing,yx
羊续悬鱼	yangxuxuanyu,yxxy
羊痒疫	yangyi,yy
羊音	yangyin,yy
羊雍	yangyong,yy
羊油	yangyou,yy
羊枣	yangzao,yz
羊枣昌歜	yangzaochangchu,yzcc
羊栈	yangzhan,yz
羊真孔草	yangzhenkongcao,yzkc
羊斟	yangzhen,yz
羊脂	yangzhi,yz
羊脂白玉	yangzhibaiyu,yzby
羊脂球	yangzhiqiu,yzq
羊脂玉	yangzhiyu,yzy
羊质虎皮	yangzhihupi,yzhp
羊卓雍措	yangzhuoyongcuo,yzyc
羊卓雍错	yangzhuoyongcuo,yzyc
羊子	yangzi,yz
羊左	yangzuo,yz
