时殊风异	shishufengyi,ssfy
时蔬	shishu,ss
时熟	shishu,ss
时暑	shishu,ss
时术	shishu,ss
时澍	shishu,ss
时水	shishui,ss
时顺	shishun,ss
时祀	shisi,ss
时俗	shisu,ss
时速	shisu,ss
时绥	shisui,ss
时岁	shisui,ss
时台	shitai,st
时态	shitai,st
时谈	shitan,st
时谭	shitan,st
时体	shiti,st
时田	shitian,st
时听	shiting,st
时铜	shitong,st
时屯	shitun,st
时王	shiwang,sw
时网	shiwang,sw
时望	shiwang,sw
时望所归	shiwangsuogui,swsg
时为	shiwei,sw
时味	shiwei,sw
时文	shiwen,sw
时无再来	shiwuzailai,swzl
时舞	shiwu,sw
时务	shiwu,sw
时务策	shiwuce,swc
时物	shiwu,sw
时习	shixi,sx
时隙	shixi,sx
时暇	shixia,sx
时下	shixia,sx
时夏	shixia,sx
时鲜	shixian,sx
时贤	shixian,sx
时嫌	shixian,sx
时显时隐	shixianyin,sxy
时限	shixian,sx
时宪	shixian,sx
时宪法	shixianfa,sxf
时宪历	shixianli,sxl
时宪书	shixianshu,sxs
时宪术	shixianshu,sxs
时献	shixian,sx
时相	shixiang,sx
时享	shixiang,sx
时饷	shixiang,sx
时飨	shixiang,sx
时向	shixiang,sx
时效	shixiao,sx
时协	shixie,sx
时写时辍	shixiechuo,sxc
时新	shixin,sx
时新地	shixinde,sxd
时薪	shixin,sx
时行	shixing,sx
时行病	shihangbing,shb
时形	shixing,sx
时兴	shixing,sx
时雄	shixiong,sx
时休	shixiu,sx
时羞	shixiu,sx
时秀	shixiu,sx
时序	shixu,sx
时叙	shixu,sx
时选	shixuan,sx
时学	shixue,sx
时雪	shixue,sx
时巡	shixun,sx
时训	shixun,sx
时讯	shixun,sx
时徇	shixun,sx
时眼	shiyan,sy
时彦	shiyan,sy
时宴	shiyan,sy
时谚	shiyan,sy
时阳	shiyang,sy
时养	shiyang,sy
时样	shiyang,sy
时要	shiyao,sy
时夜	shiye,sy
时衣	shiyi,sy
时揖	shiyi,sy
时宜	shiyi,sy
时移世变	shiyibian,syb
时移世异	shiyi,sy
时移世易	shiyi,sy
时移势迁	shiyiqian,syq
时移势易	shiyi,sy
时移俗易	shiyisu,sys
时义	shiyi,sy
时艺	shiyi,sy
时议	shiyi,sy
时异事殊	shiyishu,sys
时异势殊	shiyishu,sys
时易世变	shiyibian,syb
时疫	shiyi,sy
时意	shiyi,sy
时因	shiyin,sy
时阴	shiyin,sy
时隐时见	shiyinjian,syj
时隐时现	shiyinxian,syx
时英	shiying,sy
时嘤	shiying,sy
时邕	shiyong,sy
时雍	shiyong,sy
时雝	shiyong,sy
时廱	shiyong,sy
时用	shiyong,sy
时友	shiyou,sy
时有所闻	shiyousuowen,sysw
时鱼	shiyu,sy
时雨	shiyu,sy
时语	shiyu,sy
时育	shiyu,sy
时遇	shiyu,sy
时誉	shiyu,sy
时豫	shiyu,sy
时燠	shiyu,sy
时月	shiyue,sy
时运	shiyun,sy
时运不济	shiyunbuji,sybj
时运不齐	shiyunbuji,sybj
时运亨通	shiyunhengtong,syht
时韵	shiyun,sy
时菑	shizi,sz
时宰	shizai,sz
时暂	shizan,sz
时泽	shize,sz
时炸弹	shizhadan,szd
时长	shichang,sc
时哲	shizhe,sz
时针	shizhen,sz
时珍	shizhen,sz
时政	shizheng,sz
时政记	shizhengji,szj
时症	shizheng,sz
时直	shizhi,sz
时值	shizhi,sz
时祉	shizhi,sz
