坊本	fangben,fb
坊场	fangchang,fc
坊店	fangdian,fd
坊额	fange,fe
坊夫	fangfu,ff
坊官	fangguan,fg
坊郭	fangguo,fg
坊贾	fangjia,fj
坊间	fangjian,fj
坊间传言	fangjianchuanyan,fjcy
坊酒	fangjiu,fj
坊局	fangju,fj
坊刻	fangke,fk
坊门	fangmen,fm
坊陌	fangmo,fm
坊牌	fangpai,fp
坊曲	fangqu,fq
坊人	fangren,fr
坊市	fangshi,fs
坊肆	fangsi,fs
坊厢	fangxiang,fx
坊巷	fangxiang,fx
坊隅	fangyu,fy
坊院	fangyuan,fy
坊长	fangchang,fc
坊正	fangzheng,fz
坊中语	fangzhongyu,fzy
坊子	fangzi,fz
坊子区	fangziqu,fzq
坊佐	fangzuo,fz
