吁策	yuce,yc
吁祷	yudao,yd
吁地呼天	yudihutian,ydht
吁咈	yufu,yf
吁咈都俞	xufuduyu,xfdy
吁告	yugao,yg
吁怪	yuguai,yg
吁骇	yuhai,yh
吁号	yuhao,yh
吁呼	yuhu,yh
吁嗟	yujie,yj
吁俊	yujun,yj
吁嘅	yukai,yk
吁恳	yuken,yk
吁留	yuliu,yl
吁谟	yumo,ym
吁谋	yumou,ym
吁气	yuqi,yq
吁请	yuqing,yq
吁求	yuqiu,yq
吁然	yuran,yr
吁叹	yutan,yt
吁天	yutian,yt
吁天呼地	yutianhudi,ythd
吁荼	yutu,yt
吁吸	yuxi,yx
吁唏	yuxi,yx
吁嘻	yuxi,yx
吁吁	xu,x
吁嘘	yuxu,yx
吁猷	yuyou,yy
吁俞	yu,y
