剑拔弩张	jianbanuzhang,jbnz
剑壁	jianbi,jb
剑柄	jianbing,jb
剑镡	jiantan,jt
剑齿虎	jianchihu,jch
剑齿象	jianchixiang,jcx
剑川	jianchuan,jc
剑川县	jianchuanxian,jcx
剑胆琴心	jiandanqinxin,jdqx
剑道	jiandao,jd
剑法	jianfa,jf
剑锋	jianfeng,jf
剑跗	jianfu,jf
剑服	jianfu,jf
剑腹饴唇	jianfuyichun,jfyc
剑歌	jiange,jg
剑阁	jiange,jg
剑阁县	jiangexian,jgx
剑函	jianhan,jh
剑号	jianhao,jh
剑合	jianhe,jh
剑河	jianhe,jh
剑河县	jianhexian,jhx
剑鸻	jianheng,jh
剑花	jianhua,jh
剑华	jianhua,jh
剑化	jianhua,jh
剑及屦及	jianjiju,jjj
剑及履及	jianjilu,jjl
剑戟	jianji,jj
剑戟森森	jianjisen,jjs
剑尖	jian,j
剑客	jianke,jk
剑龙	jianlong,jl
剑履	jianlu,jl
剑履上殿	jianlushangdian,jlsd
剑轮	jianlun,jl
剑麻	jianma,jm
剑芒	jianmang,jm
剑铓	jianmang,jm
剑眉	jianmei,jm
剑鸣	jianming,jm
剑南	jiannan,jn
剑南诗稿	jiannanshigao,jnsg
剑佩	jianpei,jp
剑骑	jianqi,jq
剑气	jianqi,jq
剑气箫心	jianqixiaoxin,jqxx
剑器	jianqi,jq
剑桥	jianqiao,jq
剑桥大学	jianqiaodaxue,jqdx
剑身	jianshen,js
剑士	jianshi,js
剑首	jianshou,js
剑首一吷	jianshouyixue,jsyx
剑术	jianshu,js
剑树	jianshu,js
剑树刀山	jianshudaoshan,jsds
剑槊	jianshuo,js
剑态箫心	jiantaixiaoxin,jtxx
剑头炊	jiantouchui,jtc
剑头一吷	jiantouyixue,jtyx
剑外	jianwai,jw
剑舞	jianwu,jw
剑玺	jianxi,jx
剑侠	jianxia,jx
剑仙	jianxian,jx
剑吷	jianxue,jx
剑衣	jianyi,jy
剑鱼	jianyu,jy
剑鱼座	jianyuzuo,jyz
剑走偏锋	jianzoupianfeng,jzpf
剑走蜻蛉	jianzouqingling,jzql
剑嘴鹛	jianzuimei,jzm
