飙飙	biao,b
飙骖	biaocan,bc
飙车	biaoche,bc
飙尘	biaochen,bc
飙驰	biaochi,bc
飙歘	biaoxu,bx
飙发	biaofa,bf
飙发电举	biaofadianju,bfdj
飙焚	biaofen,bf
飙风	biaofeng,bf
飙光	biaoguang,bg
飙骇	biaohai,bh
飙汗	biaohan,bh
飙忽	biaohu,bh
飙回	biaohui,bh
飙疾	biaoji,bj
飙驾	biaojia,bj
飙举	biaoju,bj
飙举电至	biaojudianzhi,bjdz
飙口水	biaokoushui,bks
飙离	biaoli,bl
飙流	biaoliu,bl
飙轮	biaolun,bl
飙飘	biaopiao,bp
飙起	biaoqi,bq
飙驱	biaoqu,bq
飙然	biaoran,br
飙锐	biaorui,br
飙扫	biaosao,bs
飙升	biaosheng,bs
飙驶	biaoshi,bs
飙腾	biaoteng,bt
飙霆	biaoting,bt
飙欻	biaochua,bc
飙迅	biaoxun,bx
飙焰	biaoyan,by
飙扬	biaoyang,by
飙烨	biaoye,by
飙斿	biaoyou,by
飙游	biaoyou,by
飙驭	biaoyu,by
飙御	biaoyu,by
飙涨	biaozhang,bz
