悚抃	songbian,sb
悚侧	songce,sc
悚怛	songda,sd
悚戴	songdai,sd
悚动	songdong,sd
悚骇	songhai,sh
悚汗	songhan,sh
悚皇	songhuang,sh
悚惶	songhuang,sh
悚敬	songjing,sj
悚惧	songju,sj
悚愳	songju,sj
悚慨	songkai,sk
悚愧	songkui,sk
悚厉	songli,sl
悚立	songli,sl
悚栗	songli,sl
悚恧	songnu,sn
悚跂	songqi,sq
悚企	songqi,sq
悚切	songqie,sq
悚怯	songqie,sq
悚庆	songqing,sq
悚然	songran,sr
悚慑	songshe,ss
悚悚	song,s
悚惕	songti,st
悚息	songxi,sx
悚异	songyi,sy
悚踊	songyong,sy
悚跃	songyue,sy
悚仄	songze,sz
悚战	songzhan,sz
悚詟	songzhe,sz
悚峙	songzhi,sz
悚怍	songzuo,sz
