盛必虑衰	shengbilushuai,sbls
盛编	shengbian,sb
盛兵	shengbing,sb
盛才	shengcai,sc
盛菜	chengcai,cc
盛产	shengchan,sc
盛昌	shengchang,sc
盛称	shengcheng,sc
盛齿	shengchi,sc
盛炽	shengchi,sc
盛宠	shengchong,sc
盛传	shengchuan,sc
盛春	shengchun,sc
盛从	shengcong,sc
盛大	shengda,sd
盛大地	shengdade,sdd
盛大舞会	shengdawuhui,sdwh
盛代	shengdai,sd
盛旦	shengdan,sd
盛道	shengdao,sd
盛德	shengde,sd
盛典	shengdian,sd
盛冬	shengdong,sd
盛多	shengduo,sd
盛阀	shengfa,sf
盛饭	chengfan,cf
盛放	shengfang,sf
盛服	shengfu,sf
盛服先生	shengfuxian,sfx
盛府	shengfu,sf
盛高	shenggao,sg
盛古	shenggu,sg
盛观	shengguan,sg
盛轨	shenggui,sg
盛寒	shenghan,sh
盛化	shenghua,sh
盛会	shenghui,sh
盛积	shengji,sj
盛极一时	shengjiyishi,sjys
盛集	shengji,sj
盛际	shengji,sj
盛季	shengji,sj
盛迹	shengji,sj
盛价	shengjia,sj
盛鬋	shengjian,sj
盛节	shengjie,sj
盛介	shengjie,sj
盛京	shengjing,sj
盛景	shengjing,sj
盛举	shengju,sj
盛君	shengjun,sj
盛开	shengkai,sk
盛口	shengkou,sk
盛夸	shengkua,sk
盛况	shengkuang,sk
盛况空前	shengkuangkongqian,skkq
盛乐	shengle,sl
盛礼	shengli,sl
盛力	shengli,sl
盛丽	shengli,sl
盛殓	shenglian,sl
盛凉	shengliang,sl
盛粮	shengliang,sl
盛烈	shenglie,sl
盛流	shengliu,sl
盛隆	shenglong,sl
盛满	chengman,cm
盛茂	shengmao,sm
盛美	shengmei,sm
盛门	shengmen,sm
盛名	shengming,sm
盛名难副	shengmingnanfu,smnf
盛名之下	shengmingzhixia,smzx
盛明	shengming,sm
盛年	shengnian,sn
盛农	shengnong,sn
盛怒	shengnu,sn
盛怒地	shengnude,snd
盛聘	shengpin,sp
盛平	shengping,sp
盛戚	shengqi,sq
盛气	shengqi,sq
盛气临人	shengqilinren,sqlr
盛气凌人	shengqilingren,sqlr
盛器	chengqi,cq
盛强	shengqiang,sq
盛情	shengqing,sq
盛情难却	shengqingnanque,sqnq
盛秋	shengqiu,sq
盛人	shengren,sr
盛日	shengri,sr
盛容	shengrong,sr
盛鋭	shengdui,sd
盛色	shengse,ss
盛时	shengshi,ss
盛食厉兵	shengshilibing,sslb
盛使	shengshi,ss
盛世	shengshi,ss
盛世新声	shengshixin,ssx
盛事	shengshi,ss
盛饰	shengshi,ss
盛暑	shengshu,ss
盛衰	shengshuai,ss
盛衰荣辱	shengshuairongru,ssrr
盛衰兴废	shengshuaixingfei,ssxf
盛水不漏	chengshuibulou,csbl
盛谈	shengtan,st
盛叹	shengtan,st
盛唐	shengtang,st
盛推	shengtui,st
盛王	shengwang,sw
盛位	shengwei,sw
盛务	shengwu,sw
盛夏	shengxia,sx
盛心	shengxin,sx
盛行	shengxing,sx
盛虚	shengxu,sx
盛宣怀	shengxuanhuai,sxh
盛言	shengyan,sy
盛筵	shengyan,sy
盛筵必散	shengyanbisan,sybs
盛筵难再	shengyannanzai,synz
盛筵易散	shengyanyisan,syys
盛颜	shengyan,sy
盛宴	shengyan,sy
盛宴难再	shengyannanzai,synz
盛阳	shengyang,sy
盛养	shengyang,sy
盛业	shengye,sy
盛仪	shengyi,sy
盛意	shengyi,sy
盛溢	shengyi,sy
盛阴	shengyin,sy
盛誉	shengyu,sy
盛运	shengyun,sy
盛载	shengzai,sz
盛赞	shengzan,sz
盛藻	shengzao,sz
盛则	shengze,sz
盛章	shengzhang,sz
盛旨	shengzhi,sz
盛指	shengzhi,sz
盛制	shengzhi,sz
盛治	shengzhi,sz
盛躅	shengzhu,sz
盛主	shengzhu,sz
盛贮	shengzhu,sz
盛馔	shengzhuan,sz
盛妆	shengzhuang,sz
盛装	chengzhuang,cz
盛壮	shengzhuang,sz
盛族	shengzu,sz
盛尊	shengzun,sz
盛作	shengzuo,sz
盛坐	shengzuo,sz
