徂背	cubei,cb
徂川	cuchuan,cc
徂颠	cudian,cd
徂风	cufeng,cf
徂晖	cuhui,ch
徂辉	cuhui,ch
徂魂	cuhun,ch
徂来	culai,cl
徂徕	culai,cl
徂两	culiang,cl
徂龄	culing,cl
徂落	culuo,cl
徂没	cumei,cm
徂殁	cumo,cm
徂年	cunian,cn
徂迁	cuqian,cq
徂丧	cusang,cs
徂生	cusheng,cs
徂师	cushi,cs
徂逝	cushi,cs
徂暑	cushu,cs
徂岁	cusui,cs
徂谢	cuxie,cx
徂颜	cuyan,cy
徂阴	cuyin,cy
徂音	cuyin,cy
徂旃	cuzhan,cz
徂征	cuzheng,cz
徂兹	cuzi,cz
