幺帮信	yaobangxin,ybx
幺贝	yaobei,yb
幺并矢	yaobingshi,ybs
幺点	yaodian,yd
幺店	yaodian,yd
幺店子	yaodianzi,ydz
幺儿	yaoer,ye
幺二	yaoer,ye
幺凤	yaofeng,yf
幺喝	yaohe,yh
幺呼	yaohu,yh
幺花十八	yaohuashiba,yhsb
幺陋	yaolou,yl
幺么	yaomo,ym
幺么小丑	yaomoxiaochou,ymxc
幺蔑	yaomie,ym
幺麽	yaomo,ym
幺麽小丑	yaomoxiaochou,ymxc
幺魔	yaomo,ym
幺末	yaomo,ym
幺匿	yaoni,yn
幺娘	yaoniang,yn
幺袅	yaoniao,yn
幺篇	yaopian,yp
幺钱	yaoqian,yq
幺孺	yaoru,yr
幺弱	yaoruo,yr
幺师	yaoshi,ys
幺叔	yaoshu,ys
幺厮	yaosi,ys
幺算	yaosuan,ys
幺豚暮鹨	yaotunmuliu,ytml
幺微	yaowei,yw
幺弦	yaoxian,yx
幺弦孤韵	yaoxianguyun,yxgy
幺小	yaoxiao,yx
幺幺小丑	yaomoxiaochou,ymxc
