犁镵	lichan,lc
犁锄	lichu,lc
犁地	lidi,ld
犁轭	lie,le
犁沟	ligou,lg
犁骨	ligu,lg
犁鹕	lihu,lh
犁铧	lihua,lh
犁牛	liniu,ln
犁牛骍角	liniuxingjiao,lnxj
犁牛之子	liniuzhizi,lnzz
犁靬	lijian,lj
犁扫	lisao,ls
犁舌狱	lisheyu,lsy
犁生骍角	lishengxingjiao,lsxj
犁田	litian,lt
犁庭扫闾	litingsaolu,ltsl
犁庭扫穴	litingsaoxue,ltsx
犁头	litou,lt
犁涂	litu,lt
犁杖	lizhang,lz
