陛陛	bi,b
陛兵	bibing,bb
陛螭	bichi,bc
陛辞	bici,bc
陛殿	bidian,bd
陛对	bidui,bd
陛楯	bidun,bd
陛楯郎	bidunlang,bdl
陛贺	bihe,bh
陛枑	bihu,bh
陛级	biji,bj
陛戟	biji,bj
陛见	bijian,bj
陛阶	bijie,bj
陛槛	bikan,bk
陛廉	bilian,bl
陛列	bilie,bl
陛荣	birong,br
陛卫	biwei,bw
陛下	bixia,bx
陛长	bichang,bc
陛者	bizhe,bz
陛制	bizhi,bz
陛奏	bizou,bz
陛坐	bizuo,bz
