贲贲	ben,b
贲帛	benbo,bb
贲宠	benchong,bc
贲帱	benchou,bc
贲典	bendian,bd
贲敷	benfu,bf
贲鼓	bengu,bg
贲龟	bengui,bg
贲海	fenhai,fh
贲华	benhua,bh
贲浑	benhun,bh
贲获	benhuo,bh
贲戋	benjian,bj
贲军	fenjun,fj
贲溃	benkui,bk
贲赉	benlai,bl
贲临	bilin,bl
贲露	fenlu,fl
贲门	benmen,bm
贲然	benran,br
贲若	benruo,br
贲石	benshi,bs
贲士	benshi,bs
贲饰	benshi,bs
贲室	benshi,bs
贲豚	bentun,bt
贲象	benxiang,bx
贲信	fenxin,fx
贲星	benxing,bx
贲羊	benyang,by
贲耀	benyao,by
贲庸	benyong,by
贲墉	benyong,by
贲镛	benyong,by
贲禺	benyu,by
贲隅	benyu,by
贲育	benyu,by
贲治	benzhi,bz
贲彘	benzhi,bz
贲诸	benzhu,bz
