謡谶	yaochen,yc
謡传	yaochuan,yc
謡词	yaoci,yc
謡谍	yaodie,yd
謡讟	yaodu,yd
謡风	yaofeng,yf
謡歌	yaoge,yg
謡喙	yaohui,yh
謡惑	yaohuo,yh
謡警	yaojing,yj
謡讴	yaoou,yo
謡曲	yaoqu,yq
謡讼	yaosong,ys
謡诵	yaosong,ys
謡颂	yaosong,ys
謡俗	yaosu,ys
謡言	yaoyan,yy
謡谚	yaoyan,yy
謡妖	yao,y
謡议	yaoyi,yy
謡吟	yaoyin,yy
謡咏	yaoyong,yy
謡语	yaoyu,yy
謡诼	yaozhuo,yz
