谕查	yuzha,yz
谕饬	yuchi,yc
谕单	yudan,yd
谕导	yudao,yd
谕德	yude,yd
谕告	yugao,yg
谕诲	yuhui,yh
谕祭	yuji,yj
谕祭文	yujiwen,yjw
谕教	yujiao,yj
谕解	yujie,yj
谕令	yuling,yl
谕蒙	yumeng,ym
谕票	yupiao,yp
谕劝	yuquan,yq
谕然	yuran,yr
谕示	yushi,ys
谕蜀书	yushu,ys
谕蜀文	yushuwen,ysw
谕说	yushuo,ys
谕帖	yutie,yt
谕慰	yuwei,yw
谕檄	yuxi,yx
谕晓	yuxiao,yx
谕义	yuyi,yy
谕意	yuyi,yy
谕招	yuzhao,yz
谕知	yuzhi,yz
谕旨	yuzhi,yz
谕指	yuzhi,yz
谕咨	yuzi,yz
谕子	yuzi,yz
