捷安特	jieante,jat
捷报	jiebao,jb
捷报频传	jiebaopinchuan,jbpc
捷豹	jiebao,jb
捷便	jiebian,jb
捷达	jieda,jd
捷达航空货运	jiedahangkonghuoyun,jdhkhy
捷得	jiede,jd
捷蹀	jiedie,jd
捷剟	jieduo,jd
捷尔梅兹	jieermeizi,jemz
捷尔任斯克	jieerrensike,jersk
捷给	jieji,jj
捷讥	jieji,jj
捷急	jieji,jj
捷疾	jieji,jj
捷疾鬼	jiejigui,jjg
捷捷	jie,j
捷径	jiejing,jj
捷迳	jiejing,jj
捷句	jieju,jj
捷克	jieke,jk
捷克共和国	jiekegongheguo,jkghg
捷克人	jiekeren,jkr
捷克斯洛伐克	jiekesiluofa,jkslf
捷克语	jiekeyu,jky
捷口	jiekou,jk
捷雷不及掩耳	jieleibujiyaner,jlbjye
捷猎	jielie,jl
捷敏	jiemin,jm
捷慑	jieshe,js
捷书	jieshu,js
捷速	jiesu,js
捷兔	jietu,jt
捷武	jiewu,jw
捷黠	jiexia,jx
捷业	jieye,jy
捷嶫	jieye,jy
捷音	jieyin,jy
捷语	jieyu,jy
捷运	jieyun,jy
捷直	jiezhi,jz
捷足	jiezu,jz
捷足先得	jiezuxiande,jzxd
捷足先登	jiezuxiandeng,jzxd
