扪参	menshen,ms
扪参历井	menshenlijing,mslj
扪腹	menfu,mf
扪萝	menluo,ml
扪摸	menmo,mm
扪舌	menshe,ms
扪涉	menshe,ms
扪虱	menshi,ms
扪虱而谈	menshiertan,mset
扪虱而言	menshieryan,msey
扪搎	mensun,ms
扪索	mensuo,ms
扪天	mentian,mt
扪膝	menxi,mx
扪心	menxin,mx
扪心无愧	menxinwukui,mxwk
扪心自问	menxinziwen,mxzw
扪循	menxun,mx
扪撄	menying,my
扪月	menyue,my
扪籥	menyue,my
扪诊	menzhen,mz
扪足	menzu,mz
