碰杯	pengbei,pb
碰壁	pengbi,pb
碰触	pengchu,pc
碰瓷	pengci,pc
碰瓷儿	pengcier,pce
碰磁	pengci,pc
碰蛋	pengdan,pd
碰到	pengdao,pd
碰倒	pengdao,pd
碰钉子	pengdingzi,pdz
碰股	penggu,pg
碰柜酒	pengguijiu,pgj
碰和	penghe,ph
碰壶	penghu,ph
碰湖	penghu,ph
碰簧锁	penghuangsuo,phs
碰击	pengji,pj
碰见	pengjian,pj
碰劲	pengjin,pj
碰劲儿	pengjiner,pje
碰磕	pengke,pk
碰面	pengmian,pm
碰命	pengming,pm
碰碰车	pengche,pc
碰碰船	pengchuan,pc
碰巧	pengqiao,pq
碰球	pengqiu,pq
碰上	pengshang,ps
碰手	pengshou,ps
碰损	pengsun,ps
碰锁	pengsuo,ps
碰头	pengtou,pt
碰头会	pengtouhui,pth
碰头礼	pengtouli,ptl
碰响	pengxiang,px
碰一鼻子灰	pengyibizihui,pybzh
碰硬	pengying,py
碰运气	pengyunqi,pyq
碰撞	pengzhuang,pz
碰撞地	pengzhuangde,pzd
碰撞造山	pengzhuangzaoshan,pzzs
