扒草	pacao,pc
扒扠	bacha,bc
扒车	bache,bc
扒扯	bache,bc
扒钉	bading,bd
扒儿手	baershou,bes
扒耳搔腮	paersaosai,pess
扒饭	pafan,pf
扒分	pafen,pf
扒粪	pafen,pf
扒伏	bafu,bf
扒杆	bagan,bg
扒高踩低	bagaocaidi,bgcd
扒糕	pagao,pg
扒灰	pahui,ph
扒鸡	paji,pj
扒街淘空	bajietaokong,bjtk
扒进	bajin,bj
扒开	bakai,bk
扒拉	bala,bl
扒犁	pali,pl
扒龙	palong,pl
扒搂	balou,bl
扒掱	bapa,bp
扒皮	bapi,bp
扒窃	paqie,pq
扒沙	pasha,ps
扒山虎	pashanhu,psh
扒手	pashou,ps
扒艇	pating,pt
扒头	batou,bt
扒头儿	batouer,bte
扒屋牵牛	bawuqianniu,bwqn
扒瞎	baxia,bx
