斯巴达	sibada,sbd
斯巴达克起义	sibadakeqiyi,sbdkqy
斯巴达克思	sibadake,sbdk
斯巴达克同盟	sibadaketongmeng,sbdktm
斯巴鲁	sibalu,sbl
斯宾诺莎	sibinnuosha,sbns
斯宾塞	sibinse,sbs
斯冰	sibing,sb
斯缠	sichan,sc
斯彻达尔	sichedaer,scde
斯大林	sidalin,sdl
斯大林格勒	sidalingele,sdlgl
斯大林格勒会战	sidalingelehuizhan,sdlglhz
斯大林格勒战役	sidalingelezhanyi,sdlglzy
斯大林主义	sidalinzhuyi,sdlzy
斯当东	sidangdong,sdd
斯德哥尔摩	sidegeermo,sdgem
斯蒂芬	sidifen,sdf
斯蒂文	sidiwen,sdw
斯蒂文森	sidiwensen,sdws
斯多葛主义	siduogezhuyi,sdgzy
斯芬克司	sifenke,sfk
斯芬克斯	sifenke,sfk
斯福尔瓦尔	sifuerwa,sfew
斯干	sigan,sg
斯干之梦	siganzhimeng,sgzm
斯高	sigao,sg
斯哥特	sigete,sgt
斯翚	sihui,sh
斯夹巴	sijiaba,sjb
斯捷潘	sijiepan,sjp
斯禁	sijin,sj
斯卡伯勒礁	sikabolejiao,skblj
斯堪地纳维亚	sikandinaweiya,skdnwy
斯堪的纳维亚	sikandinaweiya,skdnwy
斯堪的纳维亚半岛	sikandinaweiyabandao,skdnwybd
斯考特	sikaote,skt
斯柯达	sikeda,skd
斯科费尔峰	sikefeierfeng,skfef
斯科普里	sikepuli,skpl
斯克里亚宾	sikeliyabin,sklyb
斯拉夫	silafu,slf
斯拉夫人	silafuren,slfr
斯拉夫语	silafuyu,slfy
斯拉夫字母	silafuzimu,slfzm
斯莱特林	silaitelin,sltl
斯滥	silan,sl
斯琅琅	silang,sl
斯雷布雷尼察	sileibunicha,slbnc
斯里巴加湾港	silibajiawangang,slbjwg
斯里兰卡	sililanka,sllk
斯罗	siluo,sl
斯洛伐克	siluofake,slfk
斯洛伐克语	siluofakeyu,slfky
斯洛维尼亚	siluoweiniya,slwny
斯洛文尼亚	siluowenniya,slwny
斯洛文尼亚共和国	siluowenniyagongheguo,slwnyghg
斯洛文尼亚人	siluowenniyaren,slwnyr
斯洛文尼亚语	siluowenniyayu,slwnyy
斯弥	simi,sm
斯密	simi,sm
斯密约瑟	simiyuese,smys
斯民	simin,sm
斯模大样	simodayang,smdy
斯摩棱斯克	simolengke,smlk
斯诺	sinuo,sn
斯诺登	sinuodeng,snd
斯诺克	sinuoke,snk
斯帕斯基	sipaji,spj
斯佩耳特小麦	sipeiertexiaomai,spetxm
斯佩林	sipeilin,spl
斯佩罗	sipeiluo,spl
斯皮尔伯格	sipierboge,spebg
斯普拉特利群岛	sipulateliqundao,spltlqd
斯普利特	sipulite,splt
斯普林菲尔德	sipulinfeierde,splfed
斯普特尼克	siputenike,sptnk
斯琴高娃	siqingaowa,sqgw
斯人	siren,sr
斯世	sishi,ss
斯事体大	sishitida,sstd
斯斯文文	siwen,sw
斯塔西	sitaxi,stx
斯台普斯	sitaipu,stp
斯抬斯敬	sitaijing,stj
斯泰恩谢尔	sitaienxieer,stexe
斯泰西	sitaixi,stx
斯坦贝克	sitanbeike,stbk
斯坦顿	sitandun,std
斯坦佛	sitanfo,stf
斯坦佛大学	sitanfodaxue,stfdx
斯坦福	sitanfu,stf
斯坦福大学	sitanfudaxue,stfdx
斯坦利	sitanli,stl
斯坦因	sitanyin,sty
斯特恩	siteen,ste
斯特凡诺普洛斯	sitefannuopuluo,stfnpl
斯特拉斯堡	sitelabao,stlb
斯特拉特福	sitelafu,stlf
斯通亨治石栏	sitonghengzhishilan,sthzsl
斯图加特	situjiate,stjt
斯托肯立石圈	situokenlishiquan,stklsq
斯托纳	situona,stn
斯瓦尔巴和扬马延	siwaerbaheyangmayan,swebhymy
斯瓦特	siwate,swt
斯瓦特谷地	siwategudi,swtgd
斯瓦希里	siwaxili,swxl
斯瓦希里语	siwaxiliyu,swxly
斯威士兰	siweishilan,swsl
斯维尔德洛夫	siweierdeluofu,swedlf
斯文	siwen,sw
斯文地	siwende,swd
斯文人	siwenren,swr
斯文扫地	siwensaodi,swsd
斯文委地	siwenweide,swwd
斯沃琪	siwoqi,swq
斯喜	sixi,sx
斯箱	sixiang,sx
斯须	sixu,sx
斯颜	siyan,sy
斯鞅	siyang,sy
斯养	siyang,sy
斯役	siyi,sy
斯榆	siyu,sy
斯褕	siyu,sy
斯螽	sizhong,sz
