姬滨鹬	jibinyu,jby
姬伯	jibo,jb
姬公	jigong,jg
姬国	jiguo,jg
姬汉	jihan,jh
姬化	jihua,jh
姬姜	jijiang,jj
姬孔	jikong,jk
姬佬	jilao,jl
姬刘	jiliu,jl
姬路城	jilucheng,jlc
姬路市	jilushi,jls
姬吕	jilu,jl
姬仆	jipu,jp
姬妾	jiqie,jq
姬人	jiren,jr
姬侍	jishi,js
姬姒	jisi,js
姬松茸	jisongrong,jsr
姬田鸡	jitian,jt
姬文	jiwen,jw
姬易	jiyi,jy
姬媵	jiying,jy
姬鹬	jiyu,jy
姬周	jizhou,jz
