慷达	kangda,kd
慷恺	kangkai,kk
慷慨	kangkai,kk
慷慨悲歌	kangkaibeige,kkbg
慷慨陈词	kangkaichenci,kkcc
慷慨地	kangkaide,kkd
慷慨赴义	kangkaifuyi,kkfy
慷慨激昂	kangkaijiang,kkja
慷慨激烈	kangkaijilie,kkjl
慷慨激扬	kangkaijiyang,kkjy
慷慨解囊	kangkaijienang,kkjn
慷慨就义	kangkaijiuyi,kkjy
慷慨捐生	kangkaijuansheng,kkjs
慷慨淋漓	kangkailinli,kkll
慷慨输将	kangkaishujiang,kksj
慷慨仗义	kangkaizhangyi,kkzy
慷忾	kangkai,kk
慷喟	kangkui,kk
慷爽	kangshuang,ks
慷他人之慨	kangtarenzhikai,ktrzk
慷惋	kangwan,kw
