奚车	xiche,xc
奚翅	xichi,xc
奚啻	xichi,xc
奚搐	xichu,xc
奚丢胡突	xidiuhutu,xdht
奚毒	xidu,xd
奚儿	xier,xe
奚而	xier,xe
奚官	xiguan,xg
奚国	xiguo,xg
奚假	xijia,xj
奚结	xijie,xj
奚讵	xiju,xj
奚距	xiju,xj
奚遽	xiju,xj
奚蠡	xili,xl
奚隶	xili,xl
奚落	xiluo,xl
奚墨	ximo,xm
奚囊	xinang,xn
奚奴	xinu,xn
奚女	xinu,xn
奚其	xiqi,xq
奚琴	xiqin,xq
奚容	xirong,xr
奚如	xiru,xr
奚若	xiruo,xr
奚适	xishi,xs
奚鼠	xishu,xs
奚斯	xisi,xs
奚似	xisi,xs
奚童	xitong,xt
奚僮	xitong,xt
奚吾	xiwu,xw
奚奚	xi,x
奚啸伯	xixiaobo,xxb
奚幸	xixing,xx
奚养	xiyang,xy
奚直	xizhi,xz
奚仲	xizhong,xz
