缪卜	miubu,mb
缪丑	miuchou,mc
缪传	miuchuan,mc
缪错	miucuo,mc
缪恩	miuen,me
缪葛	miuge,mg
缪公	mugong,mg
缪惑	miuhuo,mh
缪节	miujie,mj
缪结	miujie,mj
缪力同心	miulitongxin,mltx
缪戾	miuli,ml
缪盭	luli,ll
缪龙	miulong,ml
缪陋	miulou,ml
缪乱	miuluan,ml
缪缪	miu,m
缪巧	miuqiao,mq
缪荃孙	miuquansun,mqs
缪缺	miuque,mq
缪绕	miurao,mr
缪书	miushu,ms
缪数	miushu,ms
缪说	miushuo,ms
缪思	miusi,ms
缪斯	miusi,ms
缪妄	miuwang,mw
缪紊	miuwen,mw
缪误	miuwu,mw
缪悠	miuyou,my
缪紾	miutian,mt
缪政	miuzheng,mz
缪种流传	miuzhongliuchuan,mzlc
缪篆	miuzhuan,mz
