霉斑	meiban,mb
霉变	meibian,mb
霉病	meibing,mb
霉毒	meidu,md
霉蠹	meidu,md
霉风	meifeng,mf
霉黑	meihei,mh
霉瘠	meiji,mj
霉浆菌肺炎	meijiangjunfeiyan,mjjfy
霉菌	meijun,mj
霉菌毒素	meijundusu,mjds
霉烂	meilan,ml
霉黧	meili,ml
霉气	meiqi,mq
霉气星	meiqixing,mqx
霉湿	meishi,ms
霉素	meisu,ms
霉天	meitian,mt
霉头	meitou,mt
霉雨	meiyu,my
霉运	meiyun,my
