予齿去角	yuchiqujiao,ycqj
予冲人	yuchongren,ycr
予冲子	yuchongzi,ycz
予赐	yuci,yc
予夺	yuduo,yd
予夺生杀	yuduoshengsha,ydss
予告	yugao,yg
予勾	yugou,yg
予归	yugui,yg
予句	yuju,yj
予决	yujue,yj
予乐	yule,yl
予美	yumei,ym
予末小子	yumoxiaozi,ymxz
予宁	yuning,yn
予取予夺	yuquduo,yqd
予取予求	yuquqiu,yqq
予取予携	yuquxie,yqx
予人口实	yurenkoushi,yrks
予圣	yusheng,ys
予违汝弼	yuweirubi,ywrb
予小子	yuxiaozi,yxz
予雄	yuxiong,yx
予一人	yuyiren,yyr
予以	yuyi,yy
予以照顾	yuyizhaogu,yyzg
予知	yuzhi,yz
予智予雄	yuzhixiong,yzx
