醮拔	jiaoba,jb
醮词	jiaoci,jc
醮祠	jiaoci,jc
醮辞	jiaoci,jc
醮坟	jiaofen,jf
醮妇	jiaofu,jf
醮告	jiaogao,jg
醮供	jiaogong,jg
醮会	jiaohui,jh
醮火	jiaohuo,jh
醮祭	jiaoji,jj
醮荐	jiaojian,jj
醮酒	jiaojiu,jj
醮醴	jiaoli,jl
醮命	jiaoming,jm
醮器	jiaoqi,jq
醮禳	jiaorang,jr
醮设	jiaoshe,js
醮事	jiaoshi,js
醮疏	jiaoshu,js
醮水	jiaoshui,js
醮祀	jiaosi,js
醮诉	jiaosu,js
醮台	jiaotai,jt
醮坛	jiaotan,jt
醮文	jiaowen,jw
醮席	jiaoxi,jx
醮享	jiaoxiang,jx
醮筵	jiaoyan,jy
醮仪	jiaoyi,jy
醮章	jiaozhang,jz
