目把	muba,mb
目胞	mubao,mb
目标	mubiao,mb
目标程序	mubiaochengxu,mbcx
目标地	mubiaode,mbd
目标地址	mubiaodizhi,mbdz
目标检测	mubiaojiance,mbjc
目标匹配作业	mubiaopipeizuoye,mbppzy
目标市场	mubiaoshichang,mbsc
目别汇分	mubiehuifen,mbhf
目兵	mubing,mb
目波	mubo,mb
目不别视	mububieshi,mbbs
目不给赏	mubugeishang,mbgs
目不苟视	mubugoushi,mbgs
目不见睫	mubujianjie,mbjj
目不交睫	mubujiaojie,mbjj
目不窥园	mubukuiyuan,mbky
目不忍睹	muburendu,mbrd
目不忍覩	muburendu,mbrd
目不忍见	muburenjian,mbrj
目不忍视	muburenshi,mbrs
目不识丁	mubushiding,mbsd
目不识书	mubushishu,mbss
目不暇给	mubuxiaji,mbxj
目不暇接	mubuxiajie,mbxj
目不邪视	mubuxieshi,mbxs
目不斜视	mubuxieshi,mbxs
目不知书	mubuzhishu,mbzs
目不转睛	mubuzhuanjing,mbzj
目不转睛地	mubuzhuanjingde,mbzjd
目不转瞬	mubuzhuanshun,mbzs
目测	muce,mc
目瞠	mucheng,mc
目成	mucheng,mc
目成心许	muchengxinxu,mcxx
目触	muchu,mc
目怆有天	muchuangyoutian,mcyt
目次	muci,mc
目达耳通	mudaertong,mdet
目的	mudi,md
目的地	mudi,md
目的论	mudilun,mdl
目的物	mudiwu,mdw
目的性	mudixing,mdx
目瞪口呆	mudengkoudai,mdkd
目瞪口僵	mudengkoujiang,mdkj
目瞪口结	mudengkoujie,mdkj
目瞪口歪	mudengkouwai,mdkw
目瞪口张	mudengkouzhang,mdkz
目瞪舌彊	mudengshejiang,mdsj
目瞪舌挢	mudengshejiao,mdsj
目瞪舌强	mudengsheqiang,mdsq
目瞪心骇	mudengxinhai,mdxh
目定口呆	mudingkoudai,mdkd
目动言肆	mudongyansi,mdys
目睹	mudu,md
目睹耳闻	muduerwen,mdew
目覩	mudu,md
目断	muduan,md
目断魂销	muduanhunxiao,mdhx
目断鳞鸿	muduanlinhong,mdlh
目痾	muke,mk
目纲	mugang,mg
目耕	mugeng,mg
目观	muguan,mg
目光	muguang,mg
目光呆滞	muguangdaizhi,mgdz
目光短浅	muguangduanqian,mgdq
目光炯炯	muguangjiong,mgj
目光如豆	muguangrudou,mgrd
目光如炬	muguangruju,mgrj
目光如鼠	muguangrushu,mgrs
目光所及	muguangsuoji,mgsj
目酣神醉	muhanshenzui,mhsz
目耗	muhao,mh
目呼	muhu,mh
目击	muji,mj
目击道存	mujidaocun,mjdc
目击耳闻	mujierwen,mjew
目击者	mujizhe,mjz
目及	muji,mj
目即	muji,mj
目极	muji,mj
目疾	muji,mj
目睑	mujian,mj
目见	mujian,mj
目见耳闻	mujianerwen,mjew
目交心通	mujiaoxintong,mjxt
目捷	mujie,mj
目睫	mujie,mj
目睫之论	mujiezhilun,mjzl
目今	mujin,mj
目近	mujin,mj
目禁	mujin,mj
目睛	mujing,mj
目精	mujing,mj
目镜	mujing,mj
目刻	muke,mk
目空四海	mukongsihai,mksh
目空一切	mukongyiqie,mkyq
目空一世	mukongyishi,mkys
目空余子	mukongyuzi,mkyz
目礼	muli,ml
目力	muli,ml
目连	mulian,ml
目连嗐头	mulianhaitou,mlht
目连救母	mulianjiu,mlj
目连戏	mulianxi,mlx
目莲	mulian,ml
目莲戏	mulianxi,mlx
目量意营	muliangyiying,mlyy
目裂	mulie,ml
目录	mulu,ml
目录学	muluxue,mlx
目録	mulu,ml
目録学	muluxue,mlx
目乱睛迷	muluanjingmi,mljm
目乱精迷	muluanjingmi,mljm
目论	mulun,ml
目盲	mumang,mm
目眊	mumao,mm
目迷	mumi,mm
目迷五色	mumiwuse,mmws
目面	mumian,mm
目冥	muming,mm
目瞑	muming,mm
目目相觑	muxiangqu,mxq
目内眦	muneizi,mnz
目逆	muni,mn
目逆而送	muniersong,mnes
目牛无全	muniuwuquan,mnwq
目前	muqian,mq
目前地	muqiande,mqd
目前为止	muqianweizhi,mqwz
目巧	muqiao,mq
目染	muran,mr
目染耳濡	muranerru,mrer
目濡耳染	muruerran,mrer
目擩耳染	muruerran,mrer
目瞤	mushun,ms
目若悬珠	muruoxuanzhu,mrxz
目色	muse,ms
目摄	mushe,ms
目生	musheng,ms
目眚	musheng,ms
目识	muzhi,mz
目食耳视	mushier,mse
目使颐令	mushiyiling,msyl
目视	mushi,ms
目授	mushou,ms
目熟	mushu,ms
目属	mushu,ms
目数	mushu,ms
目送	musong,ms
目送手挥	musongshouhui,mssh
目宿	musu,ms
目逃	mutao,mt
目挑眉语	mutiaomeiyu,mtmy
目挑心悦	mutiaoxinyue,mtxy
目挑心招	mutiaoxinzhao,mtxz
目窕心与	mutiaoxinyu,mtxy
目听	muting,mt
目图	mutu,mt
目兔顾犬	mutuguquan,mtgq
目外眦	muwaizi,mwz
目翫	muwan,mw
目围	muwei,mw
目为	muwei,mw
目卧	muwo,mw
目无法纪	muwufaji,mwfj
目无光泽	muwuguangze,mwgz
目无全牛	muwuquanniu,mwqn
目无三尺	muwusanchi,mwsc
目无王法	muwuwangfa,mwwf
目无下尘	muwuxiachen,mwxc
目无余子	muwuyuzi,mwyz
目无组织	muwuzuzhi,mwzz
