掣白	chebai,cb
掣板	cheban,cb
掣笔郎	chebilang,cbl
掣掣	che,c
掣掣泄泄	chexie,cx
掣电	chedian,cd
掣顿	chedun,cd
掣获	chehuo,ch
掣缴	chejiao,cj
掣襟露肘	chejinluzhou,cjlz
掣鲸	chejing,cj
掣搦	chenuo,cn
掣签	cheqian,cq
掣挈	cheqie,cq
掣取	chequ,cq
掣手	cheshou,cs
掣缩	chesuo,cs
掣所	chesuo,cs
掣验	cheyan,cy
掣曳	cheye,cy
掣曳曳	cheye,cy
掣制	chezhi,cz
掣肘	chezhou,cz
掣子	chezi,cz
掣纵	chezong,cz
