蹦蹦调	bengdiao,bd
蹦蹦儿车	bengerche,bec
蹦蹦儿戏	bengerxi,bex
蹦蹦跳跳	bengtiao,bt
蹦蹦戏	bengxi,bx
蹦出来	bengchulai,bcl
蹦床	bengchuang,bc
蹦搭	bengda,bd
蹦达	bengda,bd
蹦跶	bengda,bd
蹦迪	bengdi,bd
蹦豆儿	bengdouer,bde
蹦儿	benger,be
蹦高	benggao,bg
蹦高儿	benggaoer,bge
蹦极	bengji,bj
蹦套	bengtao,bt
蹦跳	bengtiao,bt
蹦跳地走	bengtiaodezou,btdz
蹦子	bengzi,bz
蹦纵窜跳	bengzongcuantiao,bzct
蹦走	bengzou,bz
