肺癌	feiai,fa
肺病	feibing,fb
肺肠	feichang,fc
肺刺激性毒剂	feicijixingdu,fcjxd
肺动脉	feidongmai,fdm
肺肺	fei,f
肺府	feifu,ff
肺腑	feifu,ff
肺腑交	feifujiao,ffj
肺腑之言	feifuzhiyan,ffzy
肺附	feifu,ff
肺腹	feifu,ff
肺肝	feigan,fg
肺膈	feige,fg
肺怀	feihuai,fh
肺活量	feihuoliang,fhl
肺火	feihuo,fh
肺结核	feijiehe,fjh
肺结核病	feijiehebing,fjhb
肺金	feijin,fj
肺静脉	feijingmai,fjm
肺渴	feike,fk
肺劳	feilao,fl
肺痨	feilao,fl
肺泡	feipao,fp
肺气肿	feiqizhong,fqz
肺石	feishi,fs
肺石风清	feishifengqing,fsfq
肺腧	feishu,fs
肺栓塞	feishuanse,fss
肺水肿	feishuizhong,fsz
肺通气	feitongqi,ftq
肺萎陷	feiweixian,fwx
肺吸虫	feixichong,fxc
肺心病	feixinbing,fxb
肺循环	feixunhuan,fxh
肺炎	feiyan,fy
肺炎克雷伯氏菌	feiyankeleiboshijun,fyklbsj
肺炎霉浆菌	feiyanmeijiangjun,fymjj
肺炎双球菌	feiyanshuangqiujun,fysqj
肺叶	feiye,fy
肺鱼	feiyu,fy
肺俞	feiyu,fy
肺原性心脏病	feiyuanxingxinzangbing,fyxxzb
肺脏	feizang,fz
肺札	feizha,fz
