谙版	anban,ab
谙尝	anchang,ac
谙达	anda,ad
谙分	anfen,af
谙乎	anhu,ah
谙忽	anhu,ah
谙记	anji,aj
谙解	anjie,aj
谙究	anjiu,aj
谙历	anli,al
谙练	anlian,al
谙识	anshi,as
谙实	anshi,as
谙事	anshi,as
谙熟	anshu,as
谙诵	ansong,as
谙通	antong,at
谙委	anwei,aw
谙悉	anxi,ax
谙习	anxi,ax
谙闲	anxian,ax
谙详	anxiang,ax
谙晓	anxiao,ax
谙行	anxing,ax
谙忆	anyi,ay
谙知	anzhi,az
