另案	lingan,la
另册	lingce,lc
另楚寒巫	lingchuhanwu,lchw
另存	lingcun,lc
另存为	lingcunwei,lcw
另当别论	lingdangbielun,ldbl
另寄	lingji,lj
另加	lingjia,lj
另见	lingjian,lj
另开	lingkai,lk
另开生面	lingkaishengmian,lksm
另类	linglei,ll
另类医疗	lingleiyiliao,llyl
另觅新欢	lingmixinhuan,lmxh
另谋高就	lingmougaojiu,lmgj
另辟蹊径	lingpixijing,lpxj
另起炉灶	lingqiluzao,lqlz
另巧	lingqiao,lq
另请高明	lingqinggaoming,lqgm
另日	lingri,lr
另收	lingshou,ls
另外	lingwai,lw
另巍巍	lingwei,lw
另文	lingwen,lw
另行	lingxing,lx
另行通知	lingxingtongzhi,lxtz
另眼	lingyan,ly
另眼看待	lingyankandai,lykd
另眼看觑	lingyankanqu,lykq
另眼看戏	lingyankanxi,lykx
另眼相待	lingyanxiangdai,lyxd
另眼相看	lingyanxiangkan,lyxk
另样	lingyang,ly
另一	lingyi,ly
另一半	lingyiban,lyb
另一方面	lingyifangmian,lyfm
另一面	lingyimian,lym
另用	lingyong,ly
另有	lingyou,ly
另有洞天	lingyoudongtian,lydt
另有企图	lingyouqitu,lyqt
另院	lingyuan,ly
另自	lingzi,lz
