砚北	yanbei,yb
砚冰	yanbing,yb
砚材	yancai,yc
砚槽	yancao,yc
砚草	yancao,yc
砚蟾	yanchan,yc
砚池	yanchi,yc
砚滴	yandi,yd
砚弟	yandi,yd
砚格	yange,yg
砚耕	yangeng,yg
砚海	yanhai,yh
砚盒	yanhe,yh
砚农	yannong,yn
砚屏	yanping,yp
砚璞	yanpu,yp
砚山	yanshan,ys
砚山县	yanshanxian,ysx
砚石	yanshi,ys
砚室	yanshi,ys
砚水	yanshui,ys
砚水壶儿	yanshuihuer,yshe
砚台	yantai,yt
砚田	yantian,yt
砚田之食	yantianzhishi,ytzs
砚瓦	yanwa,yw
砚务	yanwu,yw
砚务官	yanwuguan,ywg
砚席	yanxi,yx
砚匣	yanxia,yx
砚兄	yanxiong,yx
砚友	yanyou,yy
砚子冢	yanzizhong,yzz
