嫁出门的女	jiachumendenu,jcmdn
嫁出去的女	jiachuqudenu,jcqdn
嫁非	jiafei,jf
嫁狗随狗	jiagousui,jgs
嫁狗逐狗	jiagouzhu,jgz
嫁祸	jiahuo,jh
嫁祸于人	jiahuoyuren,jhyr
嫁鸡随鸡	jiajisui,jjs
嫁鸡逐鸡	jiajizhu,jjz
嫁接	jiajie,jj
嫁奁	jialian,jl
嫁名	jiaming,jm
嫁母	jiamu,jm
嫁女	jianu,jn
嫁取	jiaqu,jq
嫁娶	jiaqu,jq
嫁犬逐犬	jiaquanzhu,jqz
嫁人	jiaren,jr
嫁殇	jiashang,js
嫁送	jiasong,js
嫁衣	jiayi,jy
嫁衣裳	jiayishang,jys
嫁怨	jiayuan,jy
嫁枣	jiazao,jz
嫁主	jiazhu,jz
嫁妆	jiazhuang,jz
嫁装	jiazhuang,jz
嫁赀	jiazi,jz
嫁资	jiazi,jz
嫁子	jiazi,jz
嫁罪	jiazui,jz
