鹿豹座	lubaozuo,lbz
鹿币	lubi,lb
鹿弁	lubian,lb
鹿布	lubu,lb
鹿草	lucao,lc
鹿草乡	lucaoxiang,lcx
鹿柴	luchai,lc
鹿场	luchang,lc
鹿超	luchao,lc
鹿车	luche,lc
鹿车共挽	luchegongwan,lcgw
鹿城	lucheng,lc
鹿城区	luchengqu,lcq
鹿触	luchu,lc
鹿床	luchuang,lc
鹿葱	lucong,lc
鹿顶	luding,ld
鹿洞	ludong,ld
鹿豆	ludou,ld
鹿独	ludu,ld
鹿埵	luduo,ld
鹿儿岛	luerdao,led
鹿耳	luer,le
鹿耳巾	luerjin,lej
鹿耳门	luermen,lem
鹿轓	lufan,lf
鹿菲	lufei,lf
鹿港	lugang,lg
鹿港镇	lugangzhen,lgz
鹿革	luge,lg
鹿觡	luge,lg
鹿羹	lugeng,lg
鹿箛	lugu,lg
鹿谷	lugu,lg
鹿谷乡	luguxiang,lgx
鹿冠	luguan,lg
鹿醢	luhai,lh
鹿骇	luhai,lh
鹿迒	luhang,lh
鹿活草	luhuocao,lhc
鹿藿	luhuo,lh
鹿茤	luduo,ld
鹿剑	lujian,lj
鹿胶	lujiao,lj
鹿蕉	lujiao,lj
鹿角	lujiao,lj
鹿角菜	lujiaocai,ljc
鹿角叉	lujiaocha,ljc
鹿角车	lujiaoche,ljc
鹿角胶	lujiao,lj
鹿角霜	lujiaoshuang,ljs
鹿角爪	lujiaozhao,ljz
鹿巾	lujin,lj
鹿筋	lujin,lj
鹿韭	lujiu,lj
鹿聚	luju,lj
鹿梨	luli,ll
鹿蠡	luli,ll
鹿粝	luli,ll
鹿卢	lu,l
鹿卢榜	lubang,lb
鹿卢格	luge,lg
鹿卢剑	lujian,lj
鹿卢蹻	lujue,lj
鹿栌	lu,l
鹿辂	lu,l
鹿鹿	lu,l
鹿鹿鱼鱼	luyu,ly
鹿马	luma,lm
鹿门	lumen,lm
鹿门人	lumenren,lmr
鹿虻	lumeng,lm
鹿蝱	lumeng,lm
鹿梦	lumeng,lm
鹿迷	lumi,lm
鹿麛	lumi,lm
鹿幦	lumi,lm
鹿鸣	luming,lm
鹿鸣客	lumingke,lmk
鹿鸣筵	lumingyan,lmy
鹿鸣宴	lumingyan,lmy
鹿霓衣	luniyi,lny
鹿麑裘	luniqiu,lnq
鹿臡	luni,ln
鹿辇	lunian,ln
鹿女	lunu,ln
鹿皮	lupi,lp
鹿皮苍璧	lupicangbi,lpcb
鹿皮公	lupigong,lpg
鹿皮冠	lupiguan,lpg
鹿皮几	lupiji,lpj
鹿皮夹	lupijia,lpj
鹿皮巾	lupijin,lpj
鹿皮帽	lupimao,lpm
鹿皮袷	lupijia,lpj
鹿皮翁	lupiweng,lpw
鹿皮靴	lupixue,lpx
鹿脯	lufu,lf
鹿蹊	luqi,lq
鹿浅	luqian,lq
鹿裘	luqiu,lq
鹿裘不完	luqiubuwan,lqbw
鹿泉	luquan,lq
鹿泉市	luquanshi,lqs
鹿茸	lurong,lr
鹿肉	lurou,lr
鹿塞	lusai,ls
鹿散	lusan,ls
鹿豕	lushi,ls
鹿市	lushi,ls
鹿视	lushi,ls
鹿蜀	lushu,ls
鹿树	lushu,ls
鹿死不择荫	lusibuzeyin,lsbzy
鹿死不择音	lusibuzeyin,lsbzy
鹿死谁手	lusisheishou,lsss
鹿胎	lutai,lt
鹿胎巾	lutaijin,ltj
鹿台	lutai,lt
鹿特丹	lutedan,ltd
鹿蹄	luti,lt
鹿田	lutian,lt
鹿挺	luting,lt
鹿铤	luting,lt
鹿头	lutou,lt
鹿头城	lutoucheng,ltc
鹿头关	lutouguan,ltg
鹿头栅	lutoushan,lts
鹿尾	luwei,lw
鹿为马	luweima,lwm
鹿文	luwen,lw
鹿甒	luwu,lw
鹿戏	luxi,lx
鹿衔	luxian,lx
鹿衔草	luxiancao,lxc
鹿巷	luxiang,lx
鹿行锦	luxingjin,lxj
鹿驯豕暴	luxunshibao,lxsb
鹿野	luye,ly
鹿野乡	luyexiang,lyx
鹿野苑	luyeyuan,lyy
鹿邑	luyi,ly
鹿邑县	luyixian,lyx
鹿隐	luyin,ly
鹿囿	luyou,ly
鹿鱼	luyu,ly
鹿玉	luyu,ly
鹿园	luyuan,ly
鹿苑	luyuan,ly
鹿苑寺	luyuansi,lys
鹿帻	luze,lz
鹿栅	lushan,ls
鹿砦	luzhai,lz
鹿寨	luzhai,lz
鹿寨县	luzhaixian,lzx
鹿爪	luzhao,lz
鹿中	luzhong,lz
鹿竹	luzhu,lz
鹿撞	luzhuang,lz
鹿子	luzi,lz
鹿踪	luzong,lz
鹿纵	luzong,lz
鹿走苏台	luzousutai,lzst
