饯别	jianbie,jb
饯春	jianchun,jc
饯道	jiandao,jd
饯顶	jianding,jd
饯馆	jianguan,jg
饯花	jianhua,jh
饯客	jianke,jk
饯腊	jianla,jl
饯泪	jianlei,jl
饯离	jianli,jl
饯路	jianlu,jl
饯幕	jianmu,jm
饯觞	jianshang,js
饯尸	jianshi,js
饯送	jiansong,js
饯岁	jiansui,js
饯席	jianxi,jx
饯行	jianxing,jx
饯筵	jianyan,jy
饯宴	jianyan,jy
饯饮	jianyin,jy
饯御	jianyu,jy
饯赠	jianzeng,jz
