缕板	luban,lb
缕彩	lucai,lc
缕陈	luchen,lc
缕堤	ludi,ld
缕解	lujie,lj
缕金	lujin,lj
缕金囊	lujinnang,ljn
缕金团	lujintuan,ljt
缕金衣	lujinyi,ljy
缕举	luju,lj
缕脍	lukuai,lk
缕鹿	lu,l
缕缕	lu,l
缕缕行行	luxing,lx
缕罗	luluo,ll
缕覼	luluo,ll
缕络	luluo,ll
缕綦	luqi,lq
缕切	luqie,lq
缕肉羹	lurougeng,lrg
缕述	lushu,ls
缕数	lushu,ls
缕说	lushuo,ls
缕析	luxi,lx
缕晰	luxi,lx
缕细	luxi,lx
缕续	luxu,lx
缕言	luyan,ly
缕衣	luyi,ly
缕子脍	luzikuai,lzk
