嫡出	dichu,dc
嫡传	dichuan,dc
嫡父	difu,df
嫡妇	difu,df
嫡舅	dijiu,dj
嫡觉	dijue,dj
嫡脉	dimai,dm
嫡母	dimu,dm
嫡男	dinan,dn
嫡孽	dinie,dn
嫡女	dinu,dn
嫡派	dipai,dp
嫡配	dipei,dp
嫡妻	diqi,dq
嫡妾	diqie,dq
嫡亲	diqin,dq
嫡室	dishi,ds
嫡庶	dishu,ds
嫡嗣	disi,ds
嫡孙	disun,ds
嫡堂	ditang,dt
嫡统	ditong,dt
嫡位	diwei,dw
嫡系	dixi,dx
嫡裔	diyi,dy
嫡长	dichang,dc
嫡长继承	dichangjicheng,dcjc
嫡长子	dizhangzi,dzz
嫡子	dizi,dz
