脊背	jibei,jb
脊封	jifeng,jf
脊骨	jigu,jg
脊骨神经医学	jigushenjingyixue,jgsjyx
脊觳	jihu,jh
脊灰	jihui,jh
脊脊	ji,j
脊筋	jijin,jj
脊肋	jilei,jl
脊梁	jiliang,jl
脊梁骨	jilianggu,jlg
脊檩	jilin,jl
脊鸰	jiling,jl
脊令	jiling,jl
脊令原	jilingyuan,jly
脊偻	jilu,jl
脊膂	jilu,jl
脊伦	jilun,jl
脊皮	jipi,jp
脊神经	jishenjing,jsj
脊髓	jisui,js
脊髓灰质炎	jisuihuizhiyan,jshzy
脊髓炎	jisuiyan,jsy
脊索	jisuo,js
脊索动物	jisuodongwu,jsdw
脊索动物门	jisuodongwumen,jsdwm
脊巍巍	jiwei,jw
脊线	jixian,jx
脊心骨	jixingu,jxg
脊杖	jizhang,jz
脊柱	jizhu,jz
脊柱侧凸	jizhucetu,jzct
脊柱裂	jizhulie,jzl
脊椎	jizhui,jz
脊椎侧弯	jizhucewan,jzcw
脊椎动物	jizhuidongwu,jzdw
脊椎动物门	jizhuidongwumen,jzdwm
脊椎骨	jizhuigu,jzg
脊椎炎	jizhuiyan,jzy
脊椎指压疗法	jizhuizhiyaliaofa,jzzylf
脊椎指压治疗师	jizhuizhiyaliaoshi,jzzyls
脊椎指压治疗医生	jizhuizhiyaliaoyisheng,jzzylys
