臣臣	chen,c
臣畜	chenchu,cc
臣道	chendao,cd
臣伏	chenfu,cf
臣服	chenfu,cf
臣附	chenfu,cf
臣工	chengong,cg
臣官	chenguan,cg
臣极	chenji,cj
臣节	chenjie,cj
臣礼	chenli,cl
臣隶	chenli,cl
臣僚	chenliao,cl
臣寮	chenliao,cl
臣邻	chenlin,cl
臣虏	chenlu,cl
臣门如市	chenmenrushi,cmrs
臣民	chenmin,cm
臣孽	chennie,cn
臣仆	chenpu,cp
臣妾	chenqie,cq
臣人	chenren,cr
臣使	chenshi,cs
臣仕	chenshi,cs
臣事	chenshi,cs
臣属	chenshu,cs
臣术	chenshu,cs
臣庶	chenshu,cs
臣朔	chenshuo,cs
臣司	chensi,cs
臣卫	chenwei,cw
臣位	chenwei,cw
臣下	chenxia,cx
臣心如水	chenxinrushui,cxrs
臣姓	chenxing,cx
臣一	chenyi,cy
臣一主二	chenyizhuer,cyze
臣役	chenyi,cy
臣御	chenyu,cy
臣宰	chenzai,cz
臣制	chenzhi,cz
臣子	chenzi,cz
臣佐	chenzuo,cz
