郢才	yingcai,yc
郢唱	yingchang,yc
郢城	yingcheng,yc
郢城篇	yingchengpian,ycp
郢词	yingci,yc
郢调	yingdiao,yd
郢都	yingdu,yd
郢斧	yingfu,yf
郢歌	yingge,yg
郢工	yinggong,yg
郢匠	yingjiang,yj
郢匠挥斤	yingjianghuijin,yjhj
郢匠斤	yingjiangjin,yjj
郢斤	yingjin,yj
郢客	yingke,yk
郢客词	yingkeci,ykc
郢客曲	yingkequ,ykq
郢路	yinglu,yl
郢门	yingmen,ym
郢曲	yingqu,yq
郢曲文	yingquwen,yqw
郢阙	yingque,yq
郢人	yingren,yr
郢人斤斧	yingrenjinfu,yrjf
郢人斤斫	yingrenjinzhuo,yrjz
郢人斤斲	yingrenjinzhuo,yrjz
郢人运斧	yingrenyunfu,yryf
郢人斫垩	yingrenzhuoe,yrze
郢人斵垩	yingrenzhuoe,yrze
郢刃	yingren,yr
郢上篇	yingshangpian,ysp
郢上曲	yingshangqu,ysq
郢声	yingsheng,ys
郢石	yingshi,ys
郢氏斤	yingshijin,ysj
郢市	yingshi,ys
郢市歌	yingshige,ysg
郢书	yingshu,ys
郢书燕说	yingshuyanshuo,ysys
郢握	yingwo,yw
郢削	yingxue,yx
郢雪	yingxue,yx
郢爰	yingyuan,yy
郢正	yingzheng,yz
郢政	yingzheng,yz
郢质	yingzhi,yz
郢中	yingzhong,yz
郢中白雪	yingzhongbaixue,yzbx
郢中唱	yingzhongchang,yzc
郢中词	yingzhongci,yzc
郢中歌	yingzhongge,yzg
郢中客	yingzhongke,yzk
郢中律	yingzhonglu,yzl
郢中篇	yingzhongpian,yzp
郢中曲	yingzhongqu,yzq
郢中雪	yingzhongxue,yzx
郢中吟	yingzhongyin,yzy
郢中质	yingzhongzhi,yzz
郢斫	yingzhuo,yz
