磷薄	linbao,lb
磷肥	linfei,lf
磷光	linguang,lg
磷化钙	linhuagai,lhg
磷灰粉	linhuifen,lhf
磷灰石	linhuishi,lhs
磷火	linhuo,lh
磷矿	linkuang,lk
磷矿石	linkuangshi,lks
磷烂	linlan,ll
磷磷	lin,l
磷乱	linluan,ll
磷磨	linmo,lm
磷石	linshi,ls
磷酸	linsuan,ls
磷酸钙	linsuangai,lsg
磷酸钠	linsuanna,lsn
磷酸盐	linsuanyan,lsy
磷酸盐岩	linsuanyan,lsy
磷虾	linxia,lx
磷脂	linzhi,lz
磷淄	linzi,lz
磷缁	linzi,lz
