尉安	weian,wa
尉承	weicheng,wc
尉迟	yuchi,yc
尉迟杯	yuchibei,ycb
尉迟恭	yuchigong,ycg
尉斗	weidou,wd
尉官	weiguan,wg
尉候	weihou,wh
尉藉	weijie,wj
尉荐	weijian,wj
尉解	weijie,wj
尉劳	weilao,wl
尉犁	yuli,yl
尉犁县	yulixian,ylx
尉缭	weiliao,wl
尉缭子	weiliaozi,wlz
尉律	weilu,wl
尉律学	weiluxue,wlx
尉茂	weimao,wm
尉纳	weina,wn
尉史	weishi,ws
尉氏	weishi,ws
尉氏县	weishixian,wsx
尉他	weita,wt
尉佗	weituo,wt
尉廨	weixie,wx
尉鱼	weiyu,wy
尉悦	weiyue,wy
