麾葆	huibao,hb
麾城	huicheng,hc
麾叱	huichi,hc
麾斥	huichi,hc
麾幢	huizhuang,hz
麾存	huicun,hc
麾纛	huidao,hd
麾动	huidong,hd
麾盖	huigai,hg
麾戈	huige,hg
麾汗	huihan,hh
麾诃	huihe,hh
麾节	huijie,hj
麾旌	huijing,hj
麾军	huijun,hj
麾旆	huipei,hp
麾棨	huiqi,hq
麾驱	huiqu,hq
麾日	huiri,hr
麾扫	huisao,hs
麾下	huixia,hx
麾钺	huiyue,hy
麾蚤	huizao,hz
麾仗	huizhang,hz
麾召	huizhao,hz
麾之即去	huizhijiqu,hzjq
麾帜	huizhi,hz
