稗秕	baibi,bb
稗草	baicao,bc
稗乘	baisheng,bs
稗耳贩目	baierfanmu,befm
稗饭	baifan,bf
稗贩	baifan,bf
稗官	baiguan,bg
稗官词	baiguanci,bgc
稗官小说	baiguanxiaoshuo,bgxs
稗官野史	baiguanyeshi,bgys
稗记	baiji,bj
稗粝	baili,bl
稗人	bairen,br
稗沙门	baishamen,bsm
稗实	baishi,bs
稗史	baishi,bs
稗士	baishi,bs
稗说	baishuo,bs
稗说琐语	baishuosuoyu,bssy
稗稊	baiti,bt
稗小	baixiao,bx
稗野	baiye,by
稗政	baizheng,bz
稗子	baizi,bz
稗子面	baizimian,bzm
稗子面馍馍	baizimianmo,bzmm
