塑封	sufeng,sf
塑钢	sugang,sg
塑化剂	suhuaji,shj
塑建	sujian,sj
塑胶	sujiao,sj
塑胶爆炸物	sujiaobaozhawu,sjbzw
塑胶车	sujiaoche,sjc
塑胶袋	sujiaodai,sjd
塑胶跑道	sujiaopaodao,sjpd
塑胶炸药	sujiaozhayao,sjzy
塑炼	sulian,sl
塑料	suliao,sl
塑料薄膜	suliaobaomo,slbm
塑料布	suliaobu,slb
塑料袋	suliaodai,sld
塑料普通话	suliaoputonghua,slpth
塑料王	suliaowang,slw
塑料炸弹	suliaozhadan,slzd
塑膜	sumo,sm
塑身	sushen,ss
塑像	suxiang,sx
塑性	suxing,sx
塑性炸药	suxingzhayao,sxzy
塑造	suzao,sz
