隋岸	suian,sa
隋卞	suibian,sb
隋朝	suichao,sc
隋琛	suichen,sc
隋代	suidai,sd
隋堤	suidi,sd
隋堤柳	suidiliu,sdl
隋宫	suigong,sg
隋和	suihe,sh
隋侯之珠	suihouzhizhu,shzz
隋圜	suihuan,sh
隋祭	suiji,sj
隋家柳	suijialiu,sjl
隋落	suiluo,sl
隋末	suimo,sm
隋书	suishu,ss
隋唐	suitang,st
隋唐演义	suitangyanyi,styy
隋文帝	suiwendi,swd
隋文帝杨坚	suiwendiyangjian,swdyj
隋衅	suixin,sx
隋炀帝	suiyangdi,syd
隋窳	suiyu,sy
隋苑	suiyuan,sy
隋珍	suizhen,sz
隋珠	suizhu,sz
隋珠弹雀	suizhutanque,sztq
隋珠和璧	suizhuhebi,szhb
隋珠和玉	suizhuheyu,szhy
隋珠荆璧	suizhujingbi,szjb
