轴车	zhouche,zc
轴衬	zhouchen,zc
轴承	zhoucheng,zc
轴承钢	zhouchenggang,zcg
轴承销	zhouchengxiao,zcx
轴带	zhoudai,zd
轴对称	zhouduichen,zdc
轴号	zhouhao,zh
轴金	zhoujin,zj
轴距	zhouju,zj
轴轳	zhoulu,zl
轴轳车	zhouluche,zlc
轴率	zhoulu,zl
轴上地	zhoushangde,zsd
轴诗	zhoushi,zs
轴丝	zhousi,zs
轴索	zhousuo,zs
轴头	zhoutou,zt
轴突	zhoutu,zt
轴突运输	zhoutuyunshu,ztys
轴瓦	zhouwa,zw
轴文	zhouwen,zw
轴辖	zhouxia,zx
轴线	zhouxian,zx
轴向	zhouxiang,zx
轴心	zhouxin,zx
轴心国	zhouxinguo,zxg
轴心国家	zhouxinguojia,zxgj
轴旋转	zhouxuanzhuan,zxz
轴杼	zhouzhu,zz
轴子	zhouzi,zz
