核办	heban,hb
核爆炸	hebaozha,hbz
核爆炸装置	hebaozhazhuangzhi,hbzzz
核变形	hebianxing,hbx
核辩	hebian,hb
核驳	hebo,hb
核不扩散	hebukuosan,hbks
核裁军	hecaijun,hcj
核查	hecha,hc
核查小组	hechaxiaozu,hcxz
核产	hechan,hc
核出口控制	hechukoukongzhi,hckkz
核磁共振	hecigongzhen,hcgz
核大国	hedaguo,hdg
核弹	hedan,hd
核弹头	hedantou,hdt
核蛋白	hedanbai,hdb
核当量	hedangliang,hdl
核导弹	hedaodan,hdd
核地雷	hedilei,hdl
核电	hedian,hd
核电厂	hedianchang,hdc
核电磁脉冲	hediancimaichong,hdcmc
核电荷数	hedianshu,hds
核电站	hedianzhan,hdz
核定	heding,hd
核冬天	hedongtian,hdt
核动力	hedongli,hdl
核动力航空母舰	hedonglihangkongmujian,hdlhkmj
核对	hedui,hd
核对帐目	heduizhangmu,hdzm
核对峙	heduizhi,hdz
核夺	heduo,hd
核讹诈	heezha,hez
核儿	huer,he
核发	hefa,hf
核发电	hefadian,hfd
核发电厂	hefadianchang,hfdc
核反击	hefanji,hfj
核反应	hefanying,hfy
核反应堆	hefanyingdui,hfyd
核防御	hefangyu,hfy
核废料	hefeiliao,hfl
核废物	hefeiwu,hfw
核分裂	hefenlie,hfl
核辐射	hefushe,hfs
核覆	hefu,hf
核苷	hegan,hg
核苷酸	hegansuan,hgs
核工程	hegongcheng,hgc
核工业	hegongye,hgy
核工业部	hegongyebu,hgyb
核骨	hegu,hg
核国家	heguojia,hgj
核果	heguo,hg
核合成	hecheng,hc
核轰炸	hehongzha,hhz
核轰炸机	hehongzhaji,hhzj
核黄素	hehuangsu,hhs
核计	heji,hj
核技术	hejishu,hjs
核价	hejia,hj
核减	hejian,hj
核碱基	hejianji,hjj
核见	hejian,hj
核僵持	hejiangchi,hjc
核结构	hejiegou,hjg
核究	hejiu,hj
核举	heju,hj
核聚变	hejubian,hjb
核军备	hejunbei,hjb
核均势	hejunshi,hjs
核勘	hekan,hk
核考	hekao,hk
核扩散	hekuosan,hks
核理	heli,hl
核连锁反应	heliansuofanying,hlsfy
核练	helian,hl
核裂变	heliebian,hlb
核垄断	helongduan,hld
核论	helun,hl
核门槛	hemenjian,hmj
核模型	hemoxing,hmx
核膜	hemo,hm
核能	heneng,hn
核能源	henengyuan,hny
核能资源	henengziyuan,hnzy
核批	hepi,hp
核屏蔽	hepingbi,hpb
核剖	hepou,hp
核起	heqi,hq
核潜艇	heqianting,hqt
核球	heqiu,hq
核取	hequ,hq
核燃料	heranliao,hrl
核燃料后处理	heranliaohouchuli,hrlhcl
核燃料燃耗	heranliaohao,hrlh
核热	here,hr
核仁	heren,hr
核设施	hesheshi,hss
核审	heshen,hs
核实	heshi,hs
核事件	heshijian,hsj
核势	heshi,hs
核视	heshi,hs
核试	heshi,hs
核试爆	heshibao,hsb
核试验	heshiyan,hsy
核试验场	heshiyanchang,hsyc
核试验堆	heshiyandui,hsyd
核丝	hesi,hs
核四	hesi,hs
核四级共振	hesijigongzhen,hsjgz
核素	hesu,hs
核酸	hesuan,hs
核算	hesuan,hs
核谈判	hetanpan,htp
核糖	hetang,ht
核糖核酸	hetangsuan,hts
核糖体	hetangti,htt
核桃	hetao,ht
核桃凹	hetaowa,htw
核桃虫	hetaochong,htc
核桃仁	hetaoren,htr
核桃仁儿	hetaorener,htre
核酮糖	hetongtang,htt
核推进	hetuijin,htj
核陀螺	hetuoluo,htl
核威	hewei,hw
核威慑	heweishe,hws
核威慑力量	heweisheliliang,hwsll
核威慑政策	heweishezhengce,hwszc
核问	hewen,hw
核问题	hewenti,hwt
核武	hewu,hw
核武库	hewuku,hwk
核武器	hewuqi,hwq
核物	hewu,hw
核物理	hewuli,hwl
核相互作用	hexianghuzuoyong,hxhzy
核销	hexiao,hx
核小体	hexiaoti,hxt
核心	hexin,hx
核心期刊	hexinqikan,hxqk
核型	hexing,hx
核叙	hexu,hx
核选	hexuan,hx
核验	heyan,hy
核要	heyao,hy
核议	heyi,hy
核原料	heyuanliao,hyl
核战	hezhan,hz
核战斗部	hezhandoubu,hzdb
核战争	hezhanzheng,hzz
核账	hezhang,hz
核正	hezheng,hz
核证模型	hezhengmoxing,hzmx
核柱	hezhu,hz
核转变	hezhuanbian,hzb
核装置	hezhuangzhi,hzz
核准	hezhun,hz
核资	hezi,hz
核子	hezi,hz
核子反应	hezifanying,hzfy
核子能	hezineng,hzn
核子医学	heziyixue,hzyx
核自旋	hezixuan,hzx
核总	hezong,hz
