酱瓣草	jiangbancao,jbc
酱瓿	jiangbu,jb
酱菜	jiangcai,jc
酱赤	jiangchi,jc
酱豆	jiangdou,jd
酱豆腐	jiangdoufu,jdf
酱坊	jiangfang,jf
酱缸	jianggang,jg
酱瓜	jianggua,jg
酱瓜儿	jiangguaer,jge
酱匠	jiang,j
酱料	jiangliao,jl
酱蒙	jiangmeng,jm
酱幕斗	jiangmudou,jmd
酱棚	jiangpeng,jp
酱齐	jiangqi,jq
酱清	jiangqing,jq
酱肉	jiangrou,jr
酱色	jiangse,js
酱物	jiangwu,jw
酱油	jiangyou,jy
酱园	jiangyuan,jy
酱甀	jiangzhui,jz
酱紫	jiangzi,jz
酱酻	jiangzui,jz
