闯出名堂	chuangchumingtang,ccmt
闯闯	chuang,c
闯伺	chuangsi,cs
闯荡	chuangdang,cd
闯荡江湖	chuangdangjianghu,cdjh
闯寡门	chuangguamen,cgm
闯关	chuangguan,cg
闯关东	chuangguandong,cgd
闯关者	chuangguanzhe,cgz
闯过	chuangguo,cg
闯红灯	chuanghongdeng,chd
闯祸	chuanghuo,ch
闯祸精	chuanghuojing,chj
闯见	chuangjian,cj
闯江湖	chuangjianghu,cjh
闯将	chuangjiang,cj
闯劲	chuangjin,cj
闯进	chuangjin,cj
闯客	chuangke,ck
闯空门	chuangkongmen,ckm
闯练	chuanglian,cl
闯门	chuangmen,cm
闯南走北	chuangnanzoubei,cnzb
闯破	chuangpo,cp
闯窃	chuangqie,cq
闯然	chuangran,cr
闯入	chuangru,cr
闯丧	chuangsang,cs
闯世界	chuangshijie,csj
闯事	chuangshi,cs
闯天下	chuangtianxia,ctx
闯突	chuangtu,ct
闯王	chuangwang,cw
闯王陵	chuangwangling,cwl
闯席	chuangxi,cx
