腻虫	nichong,nc
腻得得	nide,nd
腻烦	nifan,nf
腻粉	nifen,nf
腻缝	nifeng,nf
腻垢	nigou,ng
腻糊	nihu,nh
腻秽	nihui,nh
腻理	nili,nl
腻柳	niliu,nl
腻抹	nimo,nm
腻旗	niqi,nq
腻壤	nirang,nr
腻人	niren,nr
腻歪	niwai,nw
腻味	niwei,nw
腻香	nixiang,nx
腻心	nixin,nx
腻颜帢	niyanqia,nyq
腻友	niyou,ny
腻语	niyu,ny
腻玉	niyu,ny
腻云	niyun,ny
腻泽	nize,nz
腻滞	nizhi,nz
腻滞滞	nizhi,nz
腻子	nizi,nz
