觞杯	shangbei,sb
觞弊	shangbi,sb
觞杓	shangshao,ss
觞宾	shangbin,sb
觞传	shangchuan,sc
觞次	shangci,sc
觞奠	shangdian,sd
觞豆	shangdou,sd
觞窦	shangdou,sd
觞歌	shangge,sg
觞觥	shanggong,sg
觞花	shanghua,sh
觞斝	shangjia,sj
觞酒	shangjiu,sj
觞酒豆肉	shangjiudourou,sjdr
觞爵	shangjue,sj
觞客	shangke,sk
觞滥	shanglan,sl
觞令	shangling,sl
觞曲	shangqu,sq
觞勺	shangshao,ss
觞弦	shangxian,sx
觞行	shangxing,sx
觞宴	shangyan,sy
觞燕	shangyan,sy
觞肴	shangyao,sy
觞醳	shangyi,sy
觞饮	shangyin,sy
觞咏	shangyong,sy
觞政	shangzheng,sz
觞祝	shangzhu,sz
觞酌	shangzhuo,sz
