非阿贝尔	feiabeier,fabe
非谤	feibang,fb
非薄	feibao,fb
非暴力	feibaoli,fbl
非鄙	feibi,fb
非必需	feibixu,fbx
非必要	feibiyao,fby
非标准	feibiaozhun,fbz
非驳	feibo,fb
非不	feibu,fb
非才	feicai,fc
非材	feicai,fc
非层岩	feicengyan,fcy
非层状	feicengzhuang,fcz
非常	feichang,fc
非常地	feichangde,fcd
非常地不满	feichangdebuman,fcdbm
非常地不喜欢	feichangdebuxihuan,fcdbxh
非常地感谢	feichangdeganxie,fcdgx
非常地好	feichangdehao,fcdh
非常地好用	feichangdehaoyong,fcdhy
非常地开心	feichangdekaixin,fcdkx
非常地快	feichangdekuai,fcdk
非常地困难	feichangdekunnan,fcdkn
非常地慢	feichangdeman,fcdm
非常地清楚	feichangdeqingchu,fcdqc
非常地有利	feichangdeyouli,fcdyl
非常地愿意	feichangdeyuanyi,fcdyy
非常地重	feichangdezhong,fcdz
非常多	feichangduo,fcd
非常多地	feichangduode,fcdd
非常非常地	feichangde,fcd
非常感谢	feichangganxie,fcgx
非常好地	feichanghaode,fchd
非常激烈地	feichangjiliede,fcjld
非常快地	feichangkuaide,fckd
非常热情地	feichangreqingde,fcrqd
非常时期	feichangshiqi,fcsq
非常手段	feichangshouduan,fcsd
非常迅速地	feichangxunsude,fcxsd
非常严重地	feichangyanzhongde,fcyzd
非常之谋	feichangzhimou,fczm
非诚勿扰	feichengwurao,fcwr
非池中物	feichizhongwu,fczw
非斥	feichi,fc
非处	feichu,fc
非处方药	feichufangyao,fcfy
非词重复测验	feicichongfuceyan,fccfcy
非此即彼	feicijibi,fcjb
非次	feici,fc
非刺	feici,fc
非但	feidan,fd
非党	feidang,fd
非党人士	feidangrenshi,fdrs
非导体	feidaoti,fdt
非道	feidao,fd
非道德行为	feidaodexingwei,fddxw
非道德主义	feidaodezhuyi,fddzy
非得	feidei,fd
非德	feide,fd
非地	feidi,fd
非诋	feidi,fd
非递推	feiditui,fdt
非典	feidian,fd
非典型地	feidianxingde,fdxd
非典型肺炎	feidianxingyan,fdxy
非电解质	feidianjiezhi,fdjz
非动物性	feidongwuxing,fdwx
非动物性名词	feidongwuxingmingci,fdwxmc
非都会郡	feiduhuijun,fdhj
非独	feidu,fd
非独立	feiduli,fdl
非度	feidu,fd
非短	feiduan,fd
非对称	feiduichen,fdc
非对称式数据用户线	feiduichenshishujuyonghuxian,fdcssjyhx
非贰	feier,fe
非罚	feifa,ff
非法	feifa,ff
非法地	feifade,ffd
非法定	feifading,ffd
非法行为	feifaxingwei,ffxw
非凡	feifan,ff
非凡地	feifande,ffd
非犯	feifan,ff
非泛	feifan,ff
非方	feifang,ff
非非	fei,f
非非想	feixiang,fx
非分	feifen,ff
非分之财	feifenzhicai,ffzc
非分之念	feifenzhinian,ffzn
非分之想	feifenzhixiang,ffzx
非份	feifen,ff
非峰值	feifengzhi,ffz
非夫	feifu,ff
非服	feifu,ff
非负数	feifushu,ffs
非复	feifu,ff
非富即贵	feifujigui,ffjg
非富则贵	feifuzegui,ffzg
非杠杆化	feigangganhua,fggh
非高峰	feigaofeng,fgf
非公认地	feigongrende,fgrd
非公式	feigongshi,fgs
非功	feigong,fg
非辜	feigu,fg
非固有地	feiguyoude,fgyd
非故意地	feiguyide,fgyd
非恠	feiguai,fg
非关	feiguan,fg
非官办地	feiguanbande,fgbd
非官方	feiguanfang,fgf
非官方地	feiguanfangde,fgfd
非规整	feiguizheng,fgz
非国大	feiguoda,fgd
非国家行为体	feiguojiaxingweiti,fgjxwt
非核	feihe,fh
非核地带	feihedidai,fhdd
非核国家	feiheguojia,fhgj
非核化	feihehua,fhh
非核武器国家	feihewuqiguojia,fhwqgj
非黑即白	feiheijibai,fhjb
非恨	feihen,fh
非横	feiheng,fh
非毁	feihui,fh
非婚生	feihunsheng,fhs
非婚生子女	feihunshengzinu,fhszn
非祸	feihuo,fh
非羁押性	feijiyaxing,fjyx
非极性键	feijixingjian,fjxj
非几	feiji,fj
非计	feiji,fj
非觊	feiji,fj
非冀	feiji,fj
非间	feijian,fj
非讦	feijie,fj
非金属	feijinshu,fjs
非金属矿床	feijinshukuangchuang,fjskc
非经常地	feijingchangde,fjcd
非晶体	feijingti,fjt
非沮	feiju,fj
非举	feiju,fj
非据	feiju,fj
非决定论	feijuedinglun,fjdl
非军事区	feijunshiqu,fjsq
非均质	feijunzhi,fjz
非空	feikong,fk
非拉丁字符	feiladingzifu,fldzf
非类	feilei,fl
非累	feilei,fl
非礼	feili,fl
非李非桃	feilitao,flt
非理	feili,fl
非利士地	feilishidi,flsd
非利士人	feilishiren,flsr
非量	feiliang,fl
非零	feiling,fl
非驴非马	feiluma,flm
非虑	feilu,fl
非论	feilun,fl
非卖品	feimaipin,fmp
非盟	feimeng,fm
非名	feiming,fm
非命	feiming,fm
非模态	feimotai,fmt
非谋	feimou,fm
非乃	feinai,fn
非难	feinan,fn
非难地	feinande,fnd
非难似地	feinanshide,fnsd
非你莫属	feinimoshu,fnms
非欧几何	feioujihe,fojh
非欧几何学	feioujihexue,fojhx
非偶	feiou,fo
非罴	feipi,fp
非辟	feipi,fp
非僻	feipi,fp
非平衡	feipingheng,fph
非平衡态	feipinghengtai,fpht
非奇	feiqi,fq
非亲非故	feiqingu,fqg
非人	feiren,fr
非人化	feirenhua,frh
非任	feiren,fr
非日非月	feiriyue,fry
非社会地	feishehuide,fshd
非甚	feishen,fs
非生产劳动	feishengchanlaodong,fscld
非圣	feisheng,fs
非时	feishi,fs
非时浆	feishijiang,fsj
非时食	feishi,fs
非世	feishi,fs
非是	feishi,fs
非数值应用	feishuzhiyingyong,fszyy
非数字	feishuzi,fsz
非斯	feisi,fs
非死不可	feisibuke,fsbk
非所	feisuo,fs
非特	feite,ft
非体	feiti,ft
非条件反射	feitiaojianfanshe,ftjfs
非同步	feitongbu,ftb
非同步传输模式	feitongbuchuanshumoshi,ftbcsms
非同儿戏	feitongerxi,ftex
非同凡响	feitongfanxiang,ftfx
非同小可	feitongxiaoke,ftxk
非同寻常	feitongxunchang,ftxc
非同一般	feitongyiban,ftyb
非同质化代币	feitongzhihuadaibi,ftzhdb
非徒	feitu,ft
非望	feiwang,fw
非微扰	feiweirao,fwr
非违	feiwei,fw
非唯	feiwei,fw
非惟	feiwei,fw
非为	feiwei,fw
非位	feiwei,fw
非谓	feiwei,fw
非我族类	feiwozulei,fwzl
非物质文化遗产	feiwuzhiwenhuayichan,fwzwhyc
非吸烟	feixiyan,fxy
非昔是今	feixishijin,fxsj
非线性	feixianxing,fxx
非线性光学	feixianxingguangxue,fxxgx
非相对论性	feixiangduilunxing,fxdlx
非想非非想处	feixiangchu,fxc
非想非非想处天	feixiangchutian,fxct
非想天	feixiangtian,fxt
非小说	feixiaoshuo,fxs
非孝	feixiao,fx
非笑	feixiao,fx
非写实	feixieshi,fxs
非写实主义	feixieshizhuyi,fxszy
非心	feixin,fx
非刑	feixing,fx
非行	feixing,fx
非熊	feixiong,fx
非熊兆	feixiongzhao,fxz
非烟	feiyan,fy
非要	feiyao,fy
非业	feiye,fy
非一狐之腋	feiyihuzhiye,fyhzy
非一日之功	feiyirizhigong,fyrzg
非一日之寒	feiyirizhihan,fyrzh
非仪	feiyi,fy
非夷	feiyi,fy
非遗传多型性	feiyichuanduoxing,fycdx
非彝	feiyi,fy
非义	feiyi,fy
非议	feiyi,fy
非异人任	feiyiren,fyr
非意	feiyi,fy
非意相干	feiyixianggan,fyxg
非裔	feiyi,fy
非音	feiyin,fy
非盈利	feiyingli,fyl
非盈利的组织	feiyinglidezuzhi,fyldzz
非盈利组织	feiyinglizuzhi,fylzz
非营利	feiyingli,fyl
非营利组织	feiyinglizuzhi,fylzz
非赢利组织	feiyinglizuzhi,fylzz
非愚则诬	feiyuzewu,fyzw
非语	feiyu,fy
非语言传播	feiyuyanchuanbo,fyycb
非预谋	feiyumou,fym
非誉	feiyu,fy
非怨	feiyuan,fy
非云	feiyun,fy
非灾	feizai,fz
非战	feizhan,fz
非长是短	feichangshiduan,fcsd
非折	feishe,fs
非正常	feizhengchang,fzc
非正常地	feizhengchangde,fzcd
非正规军	feizhengguijun,fzgj
非正式	feizhengshi,fzs
非正式地	feizhengshide,fzsd
非正数	feizhengshu,fzs
非正统地	feizhengtongde,fztd
非正义战争	feizhengyizhan,fzyz
非政府	feizhengfu,fzf
非政府组织	feizhengfuzuzhi,fzfzz
非政治地	feizhengzhide,fzzd
非直	feizhi,fz
非直接	feizhijie,fzj
非职	feizhi,fz
非职务发明	feizhiwufaming,fzwfm
非致命	feizhiming,fzm
非种	feizhong,fz
非洲	feizhou,fz
非洲大裂谷	feizhoudaliegu,fzdlg
非洲单源说	feizhoudanyuanshuo,fzdys
非洲界	feizhoujie,fzj
非洲开发银行	feizhoukaifayinhang,fzkfyh
非洲联盟	feizhoulianmeng,fzlm
非洲人	feizhouren,fzr
非洲人国民大会	feizhourenguomindahui,fzrgmdh
非洲统一组织	feizhoutongyizuzhi,fztyzz
非洲之角	feizhouzhijiao,fzzj
非洲锥虫病	feizhouzhuichongbing,fzzcb
非主流	feizhuliu,fzl
非子	feizi,fz
非訾	feizi,fz
非自然	feiziran,fzr
非宗教	feizongjiao,fzj
非宗教地	feizongjiaode,fzjd
非族	feizu,fz
非罪	feizui,fz
