饼茶	bingcha,bc
饼麨	bingchao,bc
饼铛	bingcheng,bc
饼定	bingding,bd
饼锭	bingding,bd
饼饵	binger,be
饼肥	bingfei,bf
饼干	binggan,bg
饼金	bingjin,bj
饼炉	binglu,bl
饼师	bingshi,bs
饼食	bingshi,bs
饼肆	bingsi,bs
饼拓	bingtuo,bt
饼餤	bingdan,bd
饼图	bingtu,bt
饼屋	bingwu,bw
饼屑子	bingxiezi,bxz
饼型图	bingxingtu,bxt
饼银	bingyin,by
饼状图	bingzhuangtu,bzt
饼子	bingzi,bz
饼子桃	bingzitao,bzt
